type,time,epoch,epoch_time,lr,lr_head,lr_vision,lr_text,lr_transformer,train_loss,train_loss_main,train_loss_aux,train_loss_aux_contrib,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,train_loss_text_negative,train_loss_text_negative_contrib,train_text_negative_queries,score_negative_iou_ignore_thr,duplicate_suppression_enabled,duplicate_loss_weight,duplicate_margin,duplicate_background_weight,duplicate_classification_weight,duplicate_max_pairs,duplicate_start_epoch,hard_negative_mining_enabled,hard_negative_loss_weight,hard_negative_topk,hard_negative_max_iou,hard_negative_start_epoch,matcher_score_alpha,matcher_cost_score_effective,train_negative_text_regression_matches,val_loss,val_loss_bbox,val_loss_giou,val_loss_score,val_loss_rank_raw,val_loss_rank,val_loss_text_negative,val_loss_text_negative_contrib,val_text_negative_queries,val_score_negative_iou_ignore_thr,val_duplicate_suppression_enabled,val_hard_negative_mining_enabled,val_matcher_score_alpha,val_matcher_cost_score_effective,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,quality_recall50_at_1,quality_recall50_at_5,quality_recall50_at_10,text_recall50_at_1,text_recall50_at_5,text_recall50_at_10,final_recall50_at_1,recall50_at_1,final_recall50_at_5,recall50_at_5,final_recall50_at_10,recall50_at_10,raw_oracle_num_gt,raw_oracle_num_samples,raw_oracle_positive_samples,raw_oracle_num_pred,raw_oracle_avg_pred_per_sample,raw_oracle_avg_pred_per_positive_sample,raw_best_iou_mean,raw_best_iou_median,raw_best_iou_p25,raw_best_iou_p75,raw_oracle_recall25,raw_oracle_recall50,raw_oracle_recall75,raw_oracle_gap50,raw_oracle_retention50,valid_samples,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,eval_metric_time,raw_oracle_metric_time,lambda_bbox,lambda_giou,lambda_score,classification_type,ia_bce_alpha,classification_focal_alpha,classification_focal_gamma,normalize_classification_by_num_gt,dense_score_assignment_enabled,pairwise_ranking_enabled,duplicate_suppression_active,hard_negative_mining_active,lambda_rank_max,lambda_aux,pos_weight,quality_warmup_epoch,aux_score_enabled,matcher_score_start_epoch,matcher_score_warmup_epoch,matcher_score_alpha_min,negative_sample_ratio,max_query_loss_weight,lambda_text_negative,text_negative_topk,text_negative_hard_mix,negative_text_as_empty_target,use_negative_queries_in_val
epoch,1784083656.671406,1,835.7051455259789,3.33298648255877e-05,3.33298648255877e-05,2.6660780486238795e-05,3.332697255473815e-06,3.332979180437201e-05,3.4020891189575195,3.2648072242736816,3.771587610244751,0.13728556036949158,0.24103935062885284,0.9532174468040466,0.15314234793186188,0.0,0.0,0.2986253798007965,0.0,5206,0.5,True,0.2,0.2,0.05,0.25,256,30,True,0.05,10,0.2,50,0.0,0.0,0,,,,,,,,,,,,,,,1.885815436253324e-05,3.291580696895835e-06,0.0003291520321123934,0.024176310164369427,328,996172,13567,996500,0.0016952900420137097,0.006633743642662343,0.008918699786246037,0.0015478735166212132,0.006412618854573598,0.008697574998157294,0.0016952900420137097,0.0016952900420137097,0.006560035379966094,0.006560035379966094,0.008697574998157294,0.008697574998157294,13567,9965,8665,996500,100.0,100.0,0.0748787447810173,0.011822911910712719,0.0,0.08723068982362747,0.09781086444854736,0.024176310747861862,0.0016215817304328084,5.834924349246151e-10,0.9999999758651168,9965,1300,100.0,258.4009460359812,0.539101307047531,0.008253311971202493,5.0,2.0,1.0,iou,0.25,0.25,2.0,True,False,True,False,False,0.3,0.35,1.0,30,True,30,70,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1784084154.8500197,2,495.088439684012,6.665105309001342e-05,6.665105309001342e-05,5.330683780059801e-05,6.663803447567278e-06,6.66507243831365e-05,2.7856991291046143,2.4417757987976074,2.7915964126586914,0.34392425417900085,0.13699200749397278,0.8088645339012146,0.13886898756027222,0.0,0.0,0.29128706455230713,0.0,5206,0.5,True,0.2,0.2,0.05,0.25,256,30,True,0.05,10,0.2,50,0.0,0.0,0,,,,,,,,,,,,,,,0.0004494776949286461,9.538388985674828e-05,0.0016869041645760161,0.12390358959239331,1681,994819,13567,996500,0.008771283260853541,0.02225989533426697,0.032800176899830474,0.010098031989386011,0.02314439448662195,0.031399719908601756,0.009508365887816023,0.009508365887816023,0.021596520970000737,0.021596520970000737,0.03073634554433552,0.03073634554433552,13567,9965,8665,996500,100.0,100.0,0.2165050357580185,0.14427584409713745,0.05367964878678322,0.3544021546840668,0.34392276406288147,0.12390358746051788,0.007002284750342369,-2.131875426192309e-09,1.0000000172059218,9965,1300,100.0,109.61831482499838,0.5240289990324527,0.00860132195521146,5.0,2.0,1.0,iou,0.25,0.25,2.0,True,False,True,False,False,0.3,0.35,1.0,30,True,30,70,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1784084666.7998285,3,494.48319644399453,9.995835845130776e-05,9.995835845130776e-05,7.99293408804957e-05,9.992364148856927e-06,9.995748178712477e-05,2.8023521900177,2.2224972248077393,2.5566787719726562,0.5798548460006714,0.11857880651950836,0.7500227689743042,0.12906675040721893,0.0,0.0,0.29110458493232727,0.0,5206,0.5,True,0.2,0.2,0.05,0.25,256,30,True,0.05,10,0.2,50,0.0,0.0,0,,,,,,,,,,,,,,,0.0034773703664541245,0.0017302666092291474,0.0024997491219267438,0.1836072823763544,2491,994009,13567,996500,0.01643694258126336,0.0357485074076804,0.04931082774379008,0.020048647453379524,0.04488833198201518,0.062946856342596,0.01850077393675831,0.01850077393675831,0.039507628805189064,0.039507628805189064,0.05476523918331245,0.05476523918331245,13567,9965,8665,996500,100.0,100.0,0.2846566438674927,0.25643226504325867,0.10170967876911163,0.4441346228122711,0.5090292692184448,0.18368099629878998,0.017174025997519493,7.37139224355754e-05,0.9995986850903418,9965,1300,100.0,108.90273713995703,0.5105534910690039,0.008371775038540363,5.0,2.0,1.0,iou,0.25,0.25,2.0,True,False,True,False,False,0.3,0.35,1.0,30,True,30,70,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1784085177.211091,4,494.9006864980329,9.99349329237841e-05,9.99349329237841e-05,7.98896009163611e-05,9.988069350278427e-06,9.993356309060062e-05,2.8881750106811523,2.12796950340271,2.424131393432617,0.7602077722549438,0.11091596633195877,0.7268974184989929,0.11889506876468658,0.0,0.0,0.26838570833206177,0.0,5206,0.5,True,0.2,0.2,0.05,0.25,256,30,True,0.05,10,0.2,50,0.0,0.0,0,,,,,,,,,,,,,,,0.009729564189910889,0.004279391840100288,0.003484194681384847,0.2559150880813739,3472,993028,13567,996500,0.03530625783150291,0.062136065452937275,0.09095599616717034,0.0358959239330729,0.06818014299402964,0.10518169086754625,0.03619075698385789,0.03619075698385789,0.06677968600280092,0.06677968600280092,0.0965578241320852,0.0965578241320852,13567,9965,8665,996500,100.0,100.0,0.3388538360595703,0.3373371958732605,0.13922877609729767,0.5036997199058533,0.6148006319999695,0.2562099099159241,0.035895925015211105,0.0002948218345501519,0.9988492957409536,9965,1300,100.0,109.62724111403804,0.5353519100463018,0.008537034969776869,5.0,2.0,1.0,iou,0.25,0.25,2.0,True,False,True,False,False,0.3,0.35,1.0,30,True,30,70,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1784085704.2726102,5,507.57639362604823,9.990630562132225e-05,9.990630562132225e-05,7.984104570215331e-05,9.982821612894912e-06,9.990433310808694e-05,2.824470281600952,2.0163958072662354,2.3087856769561768,0.8080752491950989,0.10146494209766388,0.6973752379417419,0.11349131166934967,0.0,0.0,0.24897949397563934,0.0,5206,0.5,True,0.2,0.2,0.05,0.25,256,30,True,0.05,10,0.2,50,0.0,0.0,0,1.9638125896453857,0.09892416000366211,0.6740277409553528,0.1203971579670906,0.0,0.0,0.29643598198890686,0.0,1300,0.5,True,True,0.0,0.0,0.027083683758974075,0.011694549582898617,0.004262920220772705,0.3131126999336626,4248,992252,13567,996500,0.049974202108056316,0.11321589150143731,0.15522960123829882,0.03670671482273163,0.10046436205498636,0.136876243826933,0.0461413724478514,0.0461413724478514,0.10849856268887742,0.10849856268887742,0.15301835335741137,0.15301835335741137,13567,9965,8665,996500,100.0,100.0,0.36594241857528687,0.36456099152565,0.1514606922864914,0.5476648807525635,0.6366182565689087,0.31326010823249817,0.05786098539829254,0.00014740829883558293,0.9995294380134537,9965,1300,100.0,121.76152011693921,0.5321255469461903,0.008925701957195997,5.0,2.0,1.0,iou,0.25,0.25,2.0,True,False,True,False,False,0.3,0.35,1.0,30,True,30,70,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1784086217.438656,6,495.72418061003555,9.987247968322853e-05,9.987247968322853e-05,7.978368610435348e-05,9.976621959763181e-06,9.98697950449807e-05,2.716723918914795,1.9380093812942505,2.2248971462249756,0.7787133455276489,0.09512030333280563,0.6769905090332031,0.10747256129980087,0.0,0.0,0.2276742160320282,0.0,5206,0.5,True,0.2,0.2,0.05,0.25,256,30,True,0.05,10,0.2,50,0.0,0.0,0,,,,,,,,,,,,,,,0.03249116986989975,0.014958319254219532,0.00448469643753136,0.32940222598953345,4469,992031,13567,996500,0.06029335888553107,0.11955480209331466,0.16400088449915234,0.05144836736198128,0.11292105845065231,0.15928355568659247,0.05520748875948994,0.05520748875948994,0.12147121692341711,0.12147121692341711,0.16554875801577357,0.16554875801577357,13567,9965,8665,996500,100.0,100.0,0.3748043477535248,0.37738433480262756,0.16041505336761475,0.5584053993225098,0.6491486430168152,0.32947593927383423,0.06331539899110794,7.371328430078039e-05,0.9997762711156898,9965,1300,100.0,110.19825861603022,0.528797794948332,0.00830222899094224,5.0,2.0,1.0,iou,0.25,0.25,2.0,True,False,True,False,False,0.3,0.35,1.0,30,True,30,70,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1784086730.1271384,7,494.61594054999296,9.983345881889819e-05,9.983345881889819e-05,7.971753495983192e-05,9.969471599517896e-06,9.982995268876973e-05,2.6554505825042725,1.8954442739486694,2.1714484691619873,0.7600067853927612,0.09262465685606003,0.6651488542556763,0.10098128765821457,0.0,0.0,0.20613577961921692,0.0,5206,0.5,True,0.2,0.2,0.05,0.25,256,30,True,0.05,10,0.2,50,0.0,0.0,0,,,,,,,,,,,,,,,0.035998016595840454,0.017165062949061394,0.005038635223281485,0.3700891869978625,5021,991479,13567,996500,0.07046509913761333,0.13289599764133558,0.17572049826785582,0.0546915309206162,0.12803125230338322,0.17299329254809465,0.06515810422348345,0.06515810422348345,0.14306773789341784,0.14306773789341784,0.1729195842853984,0.1729195842853984,13567,9965,8665,996500,100.0,100.0,0.3973621726036072,0.4017716348171234,0.1754697859287262,0.5952162742614746,0.6669123768806458,0.3702366054058075,0.08262696117162704,0.00014741840794502137,0.9996018264920524,9965,1300,100.0,109.36604986398015,0.5377195021137595,0.008294773986563087,5.0,2.0,1.0,iou,0.25,0.25,2.0,True,False,True,False,False,0.3,0.35,1.0,30,True,30,70,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1784087245.460546,8,496.3978427790571,9.978924730740878e-05,9.978924730740878e-05,7.964260707297527e-05,9.961371926135956e-06,9.978481040861739e-05,2.5946428775787354,1.8494046926498413,2.12925386428833,0.7452389001846313,0.08893165737390518,0.6542726755142212,0.09503912925720215,0.0,0.0,0.19754157960414886,0.0,5206,0.5,True,0.2,0.2,0.05,0.25,256,30,True,0.05,10,0.2,50,0.0,0.0,0,,,,,,,,,,,,,,,0.03951386734843254,0.020362263545393944,0.005248369292523833,0.38549421390137834,5230,991270,13567,996500,0.07437163706051449,0.14063536522444167,0.19886489275447777,0.056607945750718654,0.1356232033610968,0.18205940885973318,0.06589518685044593,0.06589518685044593,0.1347387042087418,0.1347387042087418,0.19407385567922164,0.19407385567922164,13567,9965,8665,996500,100.0,100.0,0.40920719504356384,0.4128512144088745,0.1832270324230194,0.615481972694397,0.680548369884491,0.385494202375412,0.10370752215385437,-1.1525966348013839e-08,1.0000000298991951,9965,1300,100.0,111.05677107803058,0.5456018849508837,0.008243890013545752,5.0,2.0,1.0,iou,0.25,0.25,2.0,True,False,True,False,False,0.3,0.35,1.0,30,True,30,70,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1784087762.0894656,9,495.4727198400069,9.973984999705072e-05,9.973984999705072e-05,7.955891921237333e-05,9.952324518664733e-06,9.973437315488337e-05,2.528846263885498,1.8024368286132812,2.075456142425537,0.7264090180397034,0.08517090231180191,0.643028736114502,0.08927492797374725,0.0,0.0,0.18640178442001343,0.0,5206,0.5,True,0.2,0.2,0.05,0.25,256,30,True,0.05,10,0.2,50,0.0,0.0,0,,,,,,,,,,,,,,,0.04265230894088745,0.0214313305914402,0.005361766181635725,0.3938232475860544,5343,991157,13567,996500,0.08181617159283555,0.14889069064642146,0.19716960271246406,0.07437163706051449,0.14137244785140415,0.1898724847055355,0.07967863197464435,0.07967863197464435,0.14476302793543155,0.14476302793543155,0.19643252008550158,0.19643252008550158,13567,9965,8665,996500,100.0,100.0,0.4107038676738739,0.4188271164894104,0.19037950038909912,0.6067093014717102,0.6874032616615295,0.3938969671726227,0.09700007736682892,7.371958656826605e-05,0.9998128455085669,9965,1300,100.0,110.12122085597366,0.5376856049988419,0.008705669897608459,5.0,2.0,1.0,iou,0.25,0.25,2.0,True,False,True,False,False,0.3,0.35,1.0,30,True,30,70,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1784088287.943723,10,507.91327986400574,9.968527230479577e-05,9.968527230479577e-05,7.94664901070663e-05,9.942331140914242e-06,9.967864645858094e-05,2.486218214035034,1.772641897201538,2.0387911796569824,0.7135762572288513,0.08280528336763382,0.636980414390564,0.08328771591186523,0.0,0.0,0.1807316392660141,0.0,5206,0.5,True,0.2,0.2,0.05,0.25,256,30,True,0.05,10,0.2,50,0.0,0.0,0,1.7082499265670776,0.0801662802696228,0.6089809536933899,0.08826131373643875,0.0,0.0,0.2020767480134964,0.0,1300,0.5,True,True,0.0,0.0,0.04458121955394745,0.0230624470859766,0.005505268439538385,0.4043635291516179,5486,991014,13567,996500,0.08454337731259674,0.1642220092872411,0.21242721309058746,0.08513304341416673,0.15242868725584138,0.2028451389400752,0.08800766565932042,0.08800766565932042,0.16002063831355495,0.16002063831355495,0.2063831355494951,0.2063831355494951,13567,9965,8665,996500,100.0,100.0,0.41966262459754944,0.4284144341945648,0.1990462988615036,0.6144379377365112,0.7000073790550232,0.40443724393844604,0.10496056824922562,7.371478682816068e-05,0.9998177349194888,9965,1300,100.0,122.60474208497908,0.5416644170181826,0.00882968190126121,5.0,2.0,1.0,iou,0.25,0.25,2.0,True,False,True,False,False,0.3,0.35,1.0,30,True,30,70,0.0,0.15,4.0,0.0,20,0.5,True,True
