type,time,epoch,epoch_time,lr,train_loss,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,train_loss_text_negative,train_text_negative_queries,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,valid_samples,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,eval_metric_time,lambda_bbox,lambda_giou,lambda_score,lambda_rank_max,pos_weight,quality_warmup_epoch,rank_start_epoch,rank_warmup_epoch,rank_alpha_min,negative_sample_ratio,max_query_loss_weight,use_negative_queries_in_val
epoch,1782348466.6143215,1,1235.7434449288994,9.999975210899924e-05,0.6940005421638489,0.012502009980380535,0.20082847774028778,0.11400865763425827,0.0,0.0,3.4472544939490035e-05,15238,0.27902257442474365,0.1442660689353943,0.20358444174541576,0.4954580846093953,34362,134423,69354,168785,41809,3801,4.03704943911598,56.45233635394834,0.21210004296153784,4.993333333333333,2.0,2.0166666666666666,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782349611.7343132,2,1142.2610297850333,9.999552490413614e-05,0.7313731908798218,0.014225170947611332,0.22092242538928986,0.1073819175362587,0.1140521988272667,0.0002480872208252549,4.651354538509622e-05,15238,0.2778083086013794,0.14323773980140686,0.20381392318853453,0.4962222798973383,34415,134440,69354,168855,41809,3801,4.038723719773254,31.296604259870946,0.28352856705896556,4.986666666666666,2.0,2.033333333333333,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782350760.3990324,3,1140.936986981891,9.998606516135865e-05,0.7279742956161499,0.014496466144919395,0.2238246649503708,0.10109426826238632,0.10567328333854675,0.0008875455241650343,1.818504824768752e-05,15238,0.2843472957611084,0.1480962336063385,0.20974445719809098,0.5006055887187473,34719,130811,69354,165530,41809,3801,3.959195388552704,34.43713037390262,0.22355656302534044,4.98,2.0,2.05,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782351921.2039444,4,1145.3416646420956,9.997137392283787e-05,0.7192944288253784,0.014470682479441166,0.22345426678657532,0.09605462849140167,0.10464552044868469,0.0019071848364546895,1.3963995115773287e-05,15238,0.28198933601379395,0.14672555029392242,0.21016708662573086,0.49548692216743084,34364,129144,69354,163508,41809,3801,3.910832595852568,29.556998539948836,0.20230975607410073,4.973333333333334,2.0,2.066666666666667,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782353170.884589,5,1240.4886607511435,9.99514528070939e-05,0.7131717205047607,0.014463666826486588,0.22300110757350922,0.09217096120119095,0.10603341460227966,0.0033090622164309025,7.144117262214422e-05,15238,1.129233717918396,0.036795396357774734,0.36540383100509644,0.10154064744710922,0.13238638639450073,0.004132555797696114,2.805611920564388e-08,3801,0.28467512130737305,0.1501256376504898,0.21388065753766494,0.4943334198460074,34284,126011,69354,160295,41809,3801,3.8339831136836566,147.18341499194503,0.22091837204061449,4.966666666666667,2.0,2.0833333333333335,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782354323.358339,6,1136.0700719221495,9.992630400881758e-05,0.7069001197814941,0.01449585147202015,0.22327478229999542,0.08735012263059616,0.10701347142457962,0.005016166716814041,8.769167470745742e-05,15238,0.2890244126319885,0.1530173271894455,0.21295918745598102,0.4970153127433169,34470,127392,69354,161862,41809,3801,3.8714630821115072,38.05993442889303,0.2822277480736375,4.96,2.0,2.1,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782355512.0739536,7,1173.5418535450008,9.989593029862872e-05,0.7054783701896667,0.014624245464801788,0.22551016509532928,0.0826822891831398,0.10814893990755081,0.007007741369307041,3.0103896278887987e-05,15238,0.288685142993927,0.15364983677864075,0.21845802633013345,0.4912045447991464,34067,121876,69354,155943,41809,3801,3.729890693391375,30.746956625953317,0.21090960106812418,4.953333333333333,2.0,2.1166666666666667,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782356670.599478,8,1143.607033837121,9.986033502277075e-05,0.6957629919052124,0.014500497840344906,0.22339579463005066,0.07875023037195206,0.1093379333615303,0.009242009371519089,1.3784586371912155e-05,15238,0.29023444652557373,0.1543564349412918,0.21352124945554105,0.494780401995559,34315,126395,69354,160710,41809,3801,3.8439092061517854,30.70768543286249,0.2424754500389099,4.946666666666666,2.0,2.1333333333333333,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782357845.8286858,9,1158.9992231877986,9.98195221027422e-05,0.6941522359848022,0.014471081085503101,0.22342652082443237,0.07630576938390732,0.1113157868385315,0.01175493560731411,2.134862916136626e-05,15238,0.2835806608200073,0.15229614078998566,0.216099347237701,0.4892724284107622,33933,123092,69354,157025,41809,3801,3.755770288693822,32.37733788997866,0.21239698701538146,4.94,2.0,2.15,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782359160.8093255,10,1306.1141798978206,9.977349603486463e-05,0.689698338508606,0.014432510361075401,0.22293291985988617,0.07306110113859177,0.11231949925422668,0.014332093298435211,2.885216053982731e-05,15238,1.0806951522827148,0.03655889630317688,0.3671221435070038,0.0685797780752182,0.13718721270561218,0.01750458963215351,8.189891431698015e-09,3801,0.28790539503097534,0.15496882796287537,0.21506834692737078,0.4938720189174381,34252,125009,69354,159261,41809,3801,3.8092515965461984,155.69422140391544,0.23360260599292815,4.933333333333334,2.0,2.1666666666666665,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782360332.2282863,11,1157.2638373130467,9.97222618897872e-05,0.6931687593460083,0.014564038254320621,0.22272953391075134,0.07294784486293793,0.11125630140304565,0.016688313335180283,4.3416250264272094e-05,15238,0.2880675792694092,0.15748493373394012,0.2157348820105753,0.4906277936384347,34027,123699,69354,157726,41809,3801,3.7725370135616734,32.27881240006536,0.21789374179206789,4.926666666666667,2.0,2.183333333333333,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782361472.463195,12,1127.9969174829312,9.966582531192815e-05,0.6956309676170349,0.014529851265251637,0.2224338799715042,0.0728054791688919,0.11079145222902298,0.019103989005088806,0.00012185144441900775,15238,0.2881816029548645,0.1555551439523697,0.21480526828654953,0.4926608414799435,34168,124897,69354,159065,41809,3801,3.804563610705829,30.897027202881873,0.22228768793866038,4.92,2.0,2.2,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782362565.8459823,13,1088.285899204202,9.960419251885293e-05,0.6978300213813782,0.014579213224351406,0.22201521694660187,0.07252804934978485,0.11006268858909607,0.021396454423666,3.904636105289683e-05,15238,0.28833454847335815,0.15606984496116638,0.21248776351313434,0.49137757014735994,34079,126302,69354,160381,41809,3801,3.836040087062594,30.81457112589851,0.2314572799950838,4.913333333333333,2.0,2.216666666666667,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782363662.7103972,14,1090.6623514459934,9.953737030058913e-05,0.7005555629730225,0.01456148736178875,0.22165821492671967,0.07264366000890732,0.10931523144245148,0.023552753031253815,3.663409734144807e-05,15238,0.28931984305381775,0.1578391194343567,0.21793534932221065,0.4912045447991464,34067,122250,69354,156317,41809,3801,3.738836135760243,31.002828336087987,0.20477756997570395,4.906666666666666,2.0,2.2333333333333334,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782364876.571811,15,1201.417503559962,9.94653660188786e-05,0.7021260261535645,0.014488503336906433,0.22130230069160461,0.07240812480449677,0.10888981074094772,0.025610513985157013,1.918833913805429e-05,15238,1.0987982749938965,0.037143681198358536,0.3666107952594757,0.06755806505680084,0.13418366014957428,0.03156699985265732,6.747427505615633e-08,3801,0.29404670000076294,0.16139055788516998,0.21300118653285213,0.4969720564062635,34467,127349,69354,161816,41809,3801,3.8703628405367265,148.16897087404504,0.24387738783843815,4.9,2.0,2.25,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782366022.804848,16,1130.3945815260522,9.938818760636618e-05,0.7086290717124939,0.014592221938073635,0.22213082015514374,0.07296378910541534,0.10894620418548584,0.027577074244618416,2.420240343781188e-05,15238,0.29195716977119446,0.15913842618465424,0.2096338332657749,0.4921561842143207,34133,128689,69354,162822,41809,3801,3.894424645411275,32.220861084992066,0.2354226850438863,4.8933333333333335,2.0,2.2666666666666666,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782367172.6729338,17,1141.6002220441587,9.930584356572605e-05,0.7079498171806335,0.014624937437474728,0.22111563384532928,0.07238361984491348,0.107803575694561,0.028975222259759903,2.2165839254739694e-05,15238,0.2919089198112488,0.1582183539867401,0.2113604876697146,0.49493900856475476,34326,128079,69354,162405,41809,3801,3.8844507163529385,31.892103750957176,0.23539734189398587,4.886666666666667,2.0,2.283333333333333,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782368357.8326454,18,1177.8256535260007,9.92183429687247e-05,0.7057607769966125,0.014327644370496273,0.2187744677066803,0.07297665625810623,0.10807058215141296,0.030448148027062416,4.0071954572340474e-05,15238,0.2928081154823303,0.158370703458786,0.21365171579451517,0.49527064048216396,34349,126422,69354,160771,41809,3801,3.845368222153125,30.964015998877585,0.24385677184909582,4.88,2.0,2.3,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782369492.1261952,19,1127.5515242740512,9.912569545522177e-05,0.7103174328804016,0.014454323798418045,0.220484659075737,0.0723104402422905,0.10764573514461517,0.031388912349939346,2.7290951038594358e-05,15238,0.29166507720947266,0.15962879359722137,0.21443615620886353,0.493252011419673,34209,125321,69354,159530,41809,3801,3.815685617929154,33.531473614042625,0.23473893804475665,4.873333333333333,2.0,2.3166666666666664,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782370707.0945127,20,1207.6500476801302,9.902791123210785e-05,0.712033748626709,0.014374952763319016,0.22012968361377716,0.07277259230613708,0.10752332210540771,0.03201410919427872,3.0927516490919515e-05,15238,1.104668140411377,0.036630380898714066,0.36455002427101135,0.06758717447519302,0.132940873503685,0.039597682654857635,9.901246933452512e-09,3801,0.2937908470630646,0.16138949990272522,0.2166403839991958,0.4971883380915304,34482,124685,69354,159167,41809,3801,3.8070032768064292,148.85259361192584,0.2620741610880941,4.866666666666666,2.0,2.3333333333333335,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782371803.763084,21,1088.7885280619375,9.892500107218008e-05,0.7093808054924011,0.014153656549751759,0.21812593936920166,0.07320435345172882,0.10771851241588593,0.03231381997466087,0.00010928350820904598,15238,0.29064226150512695,0.15846607089042664,0.2171356303243906,0.48768636271880494,33823,121946,69354,155769,41809,3801,3.725728910043292,30.63364752009511,0.2182795270346105,4.86,2.0,2.35,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782372919.301871,22,1108.712877503829,9.881697631295532e-05,0.7080823183059692,0.014077468775212765,0.21744796633720398,0.07294339686632156,0.10743730515241623,0.0322306752204895,4.14800233556889e-05,15238,0.29083526134490967,0.15836507081985474,0.21823420193354248,0.49147850160048445,34086,122104,69354,156190,41809,3801,3.7357985122820447,30.677580629009753,0.20368834305554628,4.8533333333333335,2.0,2.3666666666666667,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782374063.9002428,23,1136.7487328487914,9.870384885542105e-05,0.7063121795654297,0.013984020799398422,0.21651655435562134,0.07265786081552505,0.1077808141708374,0.03233468905091286,6.548794772243127e-06,15238,0.2908797264099121,0.15586920082569122,0.21698777524725466,0.493179917524584,34204,123427,69354,157631,41809,3801,3.7702647755268006,33.29847093205899,0.2212938549928367,4.846666666666667,2.0,2.3833333333333333,0.3,1.0,10,1,20,0.0,0.1,10.0,True
epoch,1782375202.305739,24,1130.285436769016,9.858563116272433e-05,0.706257164478302,0.01410520076751709,0.21635426580905914,0.07217825204133987,0.1068396270275116,0.03205176442861557,9.345489161205478e-06,15238,0.2913587987422943,0.15664824843406677,0.21249907724107384,0.49806788361161575,34543,128013,69354,162556,41809,3801,3.888062378913631,31.25714709982276,0.22337948204949498,4.84,2.0,2.4,0.3,1.0,10,1,20,0.0,0.1,10.0,True
