type,time,epoch,epoch_time,lr,train_loss,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,train_loss_text_negative,train_text_negative_queries,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,valid_samples,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,eval_metric_time,lambda_bbox,lambda_giou,lambda_score,lambda_rank_max,pos_weight,quality_warmup_epoch,rank_start_epoch,rank_warmup_epoch,rank_alpha_min,negative_sample_ratio,max_query_loss_weight,use_negative_queries_in_val
epoch,1782271661.4362795,1,1216.8937231260352,9.999981236038045e-05,0.7806729078292847,0.014272485859692097,0.22501221299171448,0.1296422779560089,0.0,0.0,0.1951943188905716,7621,0.27199840545654297,0.13549257814884186,0.20260960334029227,0.5037633013236439,34938,137502,69354,172440,38008,0,4.536939591664913,52.314411763101816,0.22940741409547627,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782272737.0804784,2,1072.9913623628672,9.99957936146606e-05,0.8401759266853333,0.017458727583289146,0.2612317204475403,0.11520969122648239,0.0,0.0,0.0043343910947442055,7621,0.2708137035369873,0.13699479401111603,0.19704802963420986,0.49625111745537387,34417,140246,69354,174663,38008,0,4.595427278467691,35.67113194917329,0.30281606689095497,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782273817.5151768,3,1061.148268056102,9.998654090111112e-05,0.8439823389053345,0.01835608296096325,0.26928701996803284,0.1068141758441925,0.0,0.0,0.001284102094359696,7621,0.2761697471141815,0.140326589345932,0.19639768390129927,0.49933673616518154,34631,141700,69354,176331,38008,0,4.63931277625763,29.074993079993874,0.23076675296761096,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782274891.770051,4,1058.2009330419824,9.997205523936768e-05,0.8302491903305054,0.018284713849425316,0.2677803337574005,0.10163239389657974,0.0,0.0,0.0007349441875703633,7621,0.2806467115879059,0.1433466374874115,0.19948445564411257,0.49766415779911755,34515,138506,69354,173021,38008,0,4.552225847190066,29.688778062118217,0.24649643199518323,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782276085.5070271,5,1176.4411480319686,9.995233822572927e-05,0.8229443430900574,0.01856599934399128,0.27040794491767883,0.09464933723211288,0.0,0.0,0.0004373094707261771,7621,1.1623504161834717,0.03836532309651375,0.3860369026660919,0.09922527521848679,0.0,0.0,0.0,0,0.279899537563324,0.14080724120140076,0.20046333754372894,0.4965683305937653,34439,137358,69354,171797,38008,0,4.520022100610398,140.55429048207588,0.23825672105886042,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782277157.3220422,6,1062.2040364090353,9.99273920329823e-05,0.8087486624717712,0.018383733928203583,0.2686300575733185,0.0897856280207634,0.0,0.0,0.00037777525722049177,7621,0.28294050693511963,0.14435508847236633,0.20453359889979608,0.49750555122992185,34504,134192,69354,168696,38008,0,4.438434013891812,32.59372302307747,0.25376805081032217,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782278232.9293027,7,1059.3880478590727,9.989721941016119e-05,0.795494556427002,0.018260298296809196,0.2679947316646576,0.08410228043794632,0.0,0.0,0.00031988928094506264,7621,0.2869974970817566,0.1478065401315689,0.20494390005624796,0.49909161692187903,34614,134281,69354,168895,38008,0,4.443669753736056,28.662623099051416,0.2090631329920143,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782279304.4479554,8,1054.9287648010068,9.986182368224535e-05,0.7863880395889282,0.01823645457625389,0.26763853430747986,0.07996370643377304,0.0,0.0,0.00020116951782256365,7621,0.28589314222335815,0.14991965889930725,0.20536640011440693,0.49694321884822795,34465,133357,69354,167822,38008,0,4.415438854977899,27.913445916958153,0.23082265607081354,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782280429.1640234,9,1108.2238098860253,9.982120874979286e-05,0.783079206943512,0.018558524549007416,0.2684546709060669,0.0766889676451683,0.0,0.0,0.00031497154850512743,7621,0.28496021032333374,0.15117360651493073,0.20447634983177704,0.4916082706116446,34095,132648,69354,166743,38008,0,4.387050094716901,30.206240033032373,0.20732053997926414,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782281611.420806,10,1167.681160571985,9.977537908851061e-05,0.7691184282302856,0.018203051760792732,0.26687660813331604,0.07217469811439514,0.0,0.0,0.00020869812578894198,7621,1.1003010272979736,0.03844797611236572,0.385966420173645,0.0680643767118454,0.0,0.0,0.0,0,0.28725188970565796,0.1526179015636444,0.2073294590647668,0.4974334573348329,34499,131898,69354,166397,38008,0,4.377946748053041,140.5785033449065,0.21813515503890812,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782282742.1059568,11,1114.5862034969032,9.972433974876104e-05,0.7697757482528687,0.018208807334303856,0.2662750482559204,0.07309021800756454,0.0,0.0,0.00019789134967140853,7621,0.28868842124938965,0.15449032187461853,0.21033391699689738,0.4936268996741356,34235,128530,69354,162765,38008,0,4.282387918332983,28.958589625079185,0.2168268021196127,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782283825.930982,12,1066.549690654967,9.966809635500562e-05,0.7684818506240845,0.018112972378730774,0.26638367772102356,0.07257535308599472,0.0,0.0,0.00011404262477299199,7621,0.2877242863178253,0.15309040248394012,0.20826049347617,0.4964241428035874,34429,130888,69354,165317,38008,0,4.34953167754157,30.47795913601294,0.22541111893951893,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782284908.4303267,13,1074.014073843835,9.960665510518513e-05,0.7709953188896179,0.018304355442523956,0.26758280396461487,0.07215442508459091,0.0,0.0,0.00015165853255894035,7621,0.28769081830978394,0.1529015600681305,0.20808249822672462,0.4948957522277014,34323,130626,69354,164949,38008,0,4.339849505367291,30.190322258044034,0.23040254996158183,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782286006.568142,14,1090.7056143658701,9.954002277003647e-05,0.7699716091156006,0.018114494159817696,0.2654838562011719,0.074215829372406,0.0,0.0,0.00021762876713182777,7621,0.28559789061546326,0.15346230566501617,0.21182118585946755,0.4898635983504917,33974,126416,69354,160390,38008,0,4.219901073458219,29.98050326295197,0.2683205099310726,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782287235.9990642,15,1221.2005662848242,9.946820669234673e-05,0.773646891117096,0.018473511561751366,0.2674873471260071,0.07315240800380707,0.0,0.0,0.00013819544983562082,7621,1.1012203693389893,0.0387079119682312,0.38472387194633484,0.06911671161651611,0.0,0.0,0.0,0,0.2863389849662781,0.1539640724658966,0.21418329660780236,0.4975343887879574,34506,126599,69354,161105,38008,0,4.238712902546832,151.57714765006676,0.25512594706378877,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782288347.015417,16,1103.8023935910314,9.939121478614389e-05,0.7686305046081543,0.01814168691635132,0.2661984860897064,0.07276231050491333,0.0,0.0,0.000128417945234105,7621,0.28695887327194214,0.15314751863479614,0.20974929163670336,0.49205525276119616,34126,128573,69354,162699,38008,0,4.280651441801726,30.22100308793597,0.21636902797035873,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782289426.6150622,17,1071.22109607514,9.930905553582478e-05,0.7648258805274963,0.018037647008895874,0.2641271650791168,0.07319223880767822,0.0,0.0,7.727279444225132e-05,7621,0.2843002676963806,0.15219488739967346,0.20795600767195124,0.494016206707616,34262,130494,69354,164756,38008,0,4.334771627025889,31.612021951004863,0.2631138479337096,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782290490.557371,18,1055.661644659005,9.922173799522006e-05,0.7638852000236511,0.01794695295393467,0.26393836736679077,0.07313705235719681,0.0,0.0,0.00013842944463249296,7621,0.2860974371433258,0.15257319808006287,0.21104851853917614,0.4910315194509329,34055,127306,69354,161361,38008,0,4.24544832666807,30.499278048984706,0.273821990005672,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782291561.332177,19,1063.851499620825,9.912927178659653e-05,0.761895477771759,0.017885705456137657,0.26329708099365234,0.07293619215488434,0.0,0.0,0.00022601794626098126,7621,0.2855514585971832,0.15020674467086792,0.20851959299602849,0.49434783862502524,34285,130136,69354,164421,38008,0,4.325957693117238,29.416814016876742,0.24779758392833173,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782292752.4510105,20,1183.9812289460097,9.90316670995968e-05,0.7665385007858276,0.018177352845668793,0.264670729637146,0.07315578311681747,0.0,0.0,7.870071567595005e-05,7621,1.1058531999588013,0.03907742351293564,0.38595589995384216,0.06927692145109177,0.0,0.0,0.0,0,0.28690895438194275,0.15241971611976624,0.2101772914019222,0.49126221991521757,34071,128035,69354,162106,38008,0,4.26504946327089,144.3053641221486,0.2412938941270113,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
