type,time,epoch,epoch_time,lr,lr_head,lr_vision,lr_text,lr_transformer,train_loss,train_loss_main,train_loss_aux,train_loss_aux_contrib,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,train_loss_text_negative,train_loss_text_negative_contrib,train_text_negative_queries,score_negative_iou_ignore_thr,duplicate_suppression_enabled,duplicate_loss_weight,duplicate_margin,duplicate_background_weight,duplicate_classification_weight,duplicate_max_pairs,duplicate_start_epoch,hard_negative_mining_enabled,hard_negative_loss_weight,hard_negative_topk,hard_negative_max_iou,hard_negative_start_epoch,matcher_score_alpha,matcher_cost_score_effective,train_negative_text_regression_matches,val_loss,val_loss_bbox,val_loss_giou,val_loss_score,val_loss_rank_raw,val_loss_rank,val_loss_text_negative,val_loss_text_negative_contrib,val_text_negative_queries,val_score_negative_iou_ignore_thr,val_duplicate_suppression_enabled,val_hard_negative_mining_enabled,val_matcher_score_alpha,val_matcher_cost_score_effective,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,raw_oracle_num_gt,raw_oracle_num_samples,raw_oracle_positive_samples,raw_oracle_num_pred,raw_oracle_avg_pred_per_sample,raw_oracle_avg_pred_per_positive_sample,raw_best_iou_mean,raw_best_iou_median,raw_best_iou_p25,raw_best_iou_p75,raw_oracle_recall25,raw_oracle_recall50,raw_oracle_recall75,raw_oracle_gap50,raw_oracle_retention50,valid_samples,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,eval_metric_time,raw_oracle_metric_time,lambda_bbox,lambda_giou,lambda_score,classification_type,ia_bce_alpha,classification_focal_alpha,classification_focal_gamma,normalize_classification_by_num_gt,dense_score_assignment_enabled,pairwise_ranking_enabled,duplicate_suppression_active,hard_negative_mining_active,lambda_rank_max,lambda_aux,pos_weight,quality_warmup_epoch,aux_score_enabled,matcher_score_start_epoch,matcher_score_warmup_epoch,matcher_score_alpha_min,negative_sample_ratio,max_query_loss_weight,lambda_text_negative,text_negative_topk,text_negative_hard_mix,negative_text_as_empty_target,use_negative_queries_in_val
epoch,1783675381.4733787,1,1127.2234438690357,9.99892558349174e-05,9.99892558349174e-05,0.0001,9.998089980500698e-06,9.99892558349174e-05,3.027907371520996,2.7447149753570557,3.120868444442749,0.2831897437572479,0.18384458124637604,0.8338428735733032,0.15333448350429535,0.0,0.0,0.01404113881289959,0.0021903004962950945,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.008560451678931713,0.003318571951240301,0.0036379235397744174,0.2293027615545461,15901,4354999,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.32246848940849304,0.30232182145118713,0.12023579329252243,0.481129914522171,0.571923017501831,0.22940370440483093,0.05052996054291725,0.0001009428502848353,0.999559977243843,43709,5701,100.0,322.4609087239951,2.488334589987062,0.08140061801532283,4.997688000299846,2.0,1.002311999700154,iou,0.25,0.25,2.0,True,False,False,False,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783676426.1843045,2,1041.8602426300058,9.997582497463836e-05,9.997582497463836e-05,0.0001,9.995702492598646e-06,9.997582497463836e-05,2.828808307647705,2.1788442134857178,2.506999969482422,0.6499634981155396,0.12268709391355515,0.7093085050582886,0.13238942623138428,0.0,0.0,0.007596230134367943,0.004010449629276991,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.015512192621827126,0.006753984838724136,0.0054997826534580975,0.3466580142764439,24039,4346861,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.3884625732898712,0.38509219884872437,0.16575868427753448,0.5758968591690063,0.6618357300758362,0.3468022346496582,0.08829764276742935,0.00014422037321432102,0.9995841423185753,43709,5701,100.0,323.585170146951,2.440224261023104,0.08379693102324381,4.990766255446354,2.0,1.0092337445536468,iou,0.25,0.25,2.0,True,False,False,False,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783677483.1489453,3,1041.6868227230152,9.995702336324347e-05,9.995702336324347e-05,0.0001,9.992360577795361e-06,9.995702336324347e-05,2.8516268730163574,2.039043426513672,2.3216536045074463,0.8125797510147095,0.11031448096036911,0.6724347472190857,0.11400733143091202,0.0,0.0,0.008525514975190163,0.008286717347800732,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.01441278588026762,0.006951859686523676,0.005839300830492576,0.3680582594275002,25523,4345377,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.4032420516014099,0.40675586462020874,0.1914079636335373,0.5845375061035156,0.6883841753005981,0.3681880533695221,0.09041747450828552,0.0001297939420218941,0.9996474792138581,43709,5701,100.0,323.7501771830139,2.4557801769697107,0.08288056997116655,4.979277440298257,2.0,1.0207225597017426,iou,0.25,0.25,2.0,True,False,False,False,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783678528.7862372,4,1039.4529413150158,9.993285306254129e-05,9.993285306254129e-05,0.0001,9.98806488760375e-06,9.993285306254129e-05,2.740676164627075,1.9662861824035645,2.21254825592041,0.7743915319442749,0.10403583943843842,0.6538416147232056,0.09698061645030975,0.0,0.0,0.009347344748675823,0.01256130263209343,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.016661949455738068,0.008277678862214088,0.0061074378274497245,0.384959261662701,26695,4344205,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.41416287422180176,0.41752728819847107,0.19917291402816772,0.6019072532653809,0.6938063502311707,0.38520440459251404,0.10332395881414413,0.00024514292981303587,0.999363602993916,43709,5701,100.0,323.341313662997,2.4450326549704187,0.08129371597897261,4.963292387221365,2.0,1.0367076127786348,iou,0.25,0.25,2.0,True,False,False,False,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783679627.6512313,5,1084.8477495340048,9.990331672307766e-05,9.990331672307766e-05,0.0001,9.982816259477131e-06,9.990331672307766e-05,2.6509146690368652,1.9068351984024048,2.1259310245513916,0.7440760731697083,0.09916707873344421,0.6391539573669434,0.08325019478797913,0.0,0.0,0.010391848161816597,0.015588256530463696,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,1.8018121719360352,0.09002102166414261,0.604728102684021,0.08804736286401749,0.0,0.0,0.010180514305830002,0.015270082280039787,5701,0.5,True,True,0.0,0.0,0.016761785373091698,0.0090035330504179,0.0063321055160264475,0.3991203403273488,27677,4343223,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.4208495020866394,0.4282829463481903,0.20120801031589508,0.6135081648826599,0.7017953991889954,0.3993799090385437,0.10933737456798553,0.0002595687111949241,0.9993500706837762,43709,5701,100.0,360.4684813709464,2.4799813739955425,0.08983797195833176,4.942909649383465,2.0,1.057090350616535,iou,0.25,0.25,2.0,True,False,False,True,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783680691.7080057,6,1048.9944639719906,9.986841758384507e-05,9.986841758384507e-05,0.0001,9.976615716645957e-06,9.986841758384507e-05,2.5579562187194824,1.8388499021530151,2.054596424102783,0.7191091775894165,0.09388057887554169,0.6235623359680176,0.07159137725830078,0.0,0.0,0.010693671181797981,0.016040047630667686,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.019685203209519386,0.010053708218038082,0.006787389324853005,0.42781743456629895,29667,4341233,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.43410757184028625,0.4455413520336151,0.21602094173431396,0.6291717290878296,0.7174417972564697,0.42799049615859985,0.12087389081716537,0.0001730615923009049,0.9995956415064021,43709,5701,100.0,322.9817855299916,2.4692792359855957,0.08143024297896773,4.918254893141276,2.0,1.081745106858724,iou,0.25,0.25,2.0,True,False,False,True,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783681761.4300117,7,1049.0610149110435,9.98281594719274e-05,9.98281594719274e-05,0.0001,9.969464467918335e-06,9.98281594719274e-05,2.495136022567749,1.7964260578155518,1.9963077306747437,0.6987062692642212,0.09023924171924591,0.6138030290603638,0.06329861283302307,0.0,0.0,0.011553334072232246,0.017328903079032898,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.018968679010868073,0.009955830872058868,0.006937930403349424,0.4373062225106352,30325,4340575,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.43966272473335266,0.4504320025444031,0.21999521553516388,0.6371617317199707,0.7208161950111389,0.4373638927936554,0.12961280345916748,5.767028302017252e-05,0.9998681411886752,43709,5701,100.0,322.4227843750268,2.504882827983238,0.08307423203950748,4.889480123265569,2.0,1.1105198767344309,iou,0.25,0.25,2.0,True,False,False,True,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783682828.713043,8,1058.6747433679993,9.978254680208029e-05,9.978254680208029e-05,0.0001,9.961363907444379e-06,9.978254680208029e-05,2.4252264499664307,1.7474607229232788,1.9364649057388306,0.6777610182762146,0.08659683912992477,0.6028584241867065,0.05654504522681236,0.0,0.0,0.008906739763915539,0.013360030017793179,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.020952822640538216,0.009354151785373688,0.00718433274611636,0.45283726296055954,31402,4339498,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.44785797595977783,0.463945209980011,0.2273886799812317,0.646237313747406,0.7275650501251221,0.45303913950920105,0.13533779978752136,0.00020187654864151083,0.9995543949053493,43709,5701,100.0,321.46305736497743,2.4844874150003307,0.08173935301601887,4.856762745781211,2.0,1.1432372542187894,iou,0.25,0.25,2.0,True,False,False,True,True,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783683900.8949912,9,1056.6025899099768,9.973158457624699e-05,9.973158457624699e-05,0.0001,9.952315614444399e-06,9.973158457624699e-05,2.3790531158447266,1.7128455638885498,1.903456687927246,0.666210949420929,0.08421843498945236,0.5959150195121765,0.05252727121114731,0.0,0.0,0.004300082102417946,0.00645000534132123,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.02306520938873291,0.011735809966921806,0.007272872863712279,0.4584180546542649,31789,4339111,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.4531893730163574,0.4680829346179962,0.23450025916099548,0.6552532911300659,0.7366788983345032,0.45846131443977356,0.14387482404708862,4.325978550867582e-05,0.9999056413613403,43709,5701,100.0,321.51256316300714,2.4773832600330934,0.0846630809828639,4.820304474200023,2.0,1.1796955257999768,iou,0.25,0.25,2.0,True,False,False,True,True,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783685016.6091716,10,1097.9347571399994,9.967527838300985e-05,9.967527838300985e-05,0.0001,9.942321352901047e-06,9.967527838300985e-05,2.326171875,1.6737425327301025,1.8640903234481812,0.6524311304092407,0.0810943990945816,0.5868077874183655,0.049725886434316635,0.0,0.0,0.001515562878921628,0.0022732119541615248,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,1.597550392150879,0.07463991641998291,0.5610867738723755,0.05337797477841377,0.0,0.0,0.0011816037585958838,0.0017723668133839965,5701,0.5,True,True,0.0,0.0,0.02554001286625862,0.015027500689029694,0.007412203436363221,0.46720023073040595,32398,4338502,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.4595199525356293,0.474224328994751,0.2433345764875412,0.6619065999984741,0.7438459992408752,0.46728676557540894,0.15206575393676758,8.653484500298347e-05,0.9998148142610107,43709,5701,100.0,360.8275206780527,2.4824793449952267,0.08937988901743665,4.7803300858899105,2.0,1.2196699141100893,iou,0.25,0.25,2.0,True,False,False,True,True,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
