type,time,epoch,epoch_time,lr,train_loss,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,train_loss_text_negative,train_text_negative_queries,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,raw_oracle_num_gt,raw_oracle_num_samples,raw_oracle_positive_samples,raw_oracle_num_pred,raw_oracle_avg_pred_per_sample,raw_oracle_avg_pred_per_positive_sample,raw_best_iou_mean,raw_best_iou_median,raw_best_iou_p25,raw_best_iou_p75,raw_oracle_recall25,raw_oracle_recall50,raw_oracle_recall75,raw_oracle_gap50,raw_oracle_retention50,valid_samples,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,eval_metric_time,raw_oracle_metric_time,lambda_bbox,lambda_giou,lambda_score,lambda_rank_max,pos_weight,quality_warmup_epoch,rank_start_epoch,rank_warmup_epoch,rank_alpha_min,negative_sample_ratio,max_query_loss_weight,use_negative_queries_in_val
epoch,1782445838.3817356,1,1211.412188416114,1.999977675915134e-05,0.8010708689689636,0.009718408808112144,0.16127251088619232,0.17394082248210907,0.0,0.0,6.8058106990065426e-06,15238,0.15585848689079285,0.06870447099208832,0.18099125364431487,0.46993684574790207,32592,147483,69354,180075,69354,41809,38008,4180900,100.0,100.0,0.6348766088485718,0.7092146873474121,0.48114851117134094,0.8451957702636719,0.8798627257347107,0.7346223592758179,0.4355192184448242,0.2646855135279158,0.6396985332860823,41809,3801,4.307086990839293,67.85151493106969,0.23030680208466947,0.08516550296917558,4.996666666666667,2.5,2.0083333333333333,0.15,1.0,5,1,10,0.0,0.1,10.0,True
epoch,1782447078.7066133,2,1237.7951380761806,1.9998571892874963e-05,0.7499058842658997,0.009360581636428833,0.15763810276985168,0.1516188085079193,0.786758303642273,0.003304386744275689,1.1858710422529839e-05,15238,0.1498989462852478,0.06525994837284088,0.17664428797554718,0.4666349453528275,32363,150847,69354,183210,69354,41809,38008,4180900,100.0,100.0,0.6348929405212402,0.7103087306022644,0.4822986125946045,0.8459572792053223,0.8791418075561523,0.7352423667907715,0.437422513961792,0.26860742143794397,0.6346681943664683,41809,3801,4.382070845990098,46.716969535918906,0.22174460999667645,0.0784313608892262,4.993333333333333,2.5,2.0166666666666666,0.15,1.0,5,1,10,0.0,0.1,10.0,True
epoch,1782448344.4638226,3,1257.4231701570097,1.999632299362666e-05,0.7268179655075073,0.008998698554933071,0.15297895669937134,0.1419118195772171,0.7754249572753906,0.012096626684069633,9.113686246564612e-05,15238,0.158863827586174,0.070213183760643,0.17839469653826376,0.46522190500908384,32265,148598,69354,180863,69354,41809,38008,4180900,100.0,100.0,0.6346750855445862,0.7089431285858154,0.47711655497550964,0.8469283580780029,0.877483606338501,0.7330362796783447,0.4361680746078491,0.2678143746692609,0.6346505867529811,41809,3801,4.3259346073811855,47.319338124012575,0.21404887619428337,0.08711377391591668,4.99,2.5,2.025,0.15,1.0,5,1,10,0.0,0.1,10.0,True
epoch,1782449594.922778,4,1234.7919288720004,1.9993030308593593e-05,0.7177014350891113,0.00876131746917963,0.1502852886915207,0.13445404171943665,0.7687897086143494,0.02490874007344246,8.959646947914734e-06,15238,0.16126826405525208,0.07109420001506805,0.17967026265896466,0.4673126279666638,32410,147976,69354,180386,69354,41809,38008,4180900,100.0,100.0,0.6336545348167419,0.7086868286132812,0.475181519985199,0.8465389013290405,0.8757966160774231,0.7321134805679321,0.43491363525390625,0.26480085260126834,0.6383062740548763,41809,3801,4.314525580616614,44.934568346012384,0.2186991369817406,0.0795482499524951,4.986666666666666,2.5,2.033333333333333,0.15,1.0,5,1,10,0.0,0.1,10.0,True
epoch,1782450945.4343462,5,1336.8552736381534,1.9988694199690342e-05,0.7156984210014343,0.008546199649572372,0.14752015471458435,0.12928354740142822,0.7643023729324341,0.04035521298646927,2.2642052499577403e-06,15238,1.3877172470092773,0.03851940110325813,0.3817855715751648,0.09794781357049942,0.7826093435287476,0.0413217768073082,6.228417248621554e-08,3801,0.1680828332901001,0.07516344636678696,0.18233313349880378,0.4692303255760302,32543,145938,69354,178481,69354,41809,38008,4180900,100.0,100.0,0.6338037848472595,0.7103046774864197,0.4775412678718567,0.8468841910362244,0.8760417699813843,0.7315655946731567,0.43866249918937683,0.2623352690971265,0.6414056770748895,41809,3801,4.2689612284436365,167.72876376705244,0.24350751098245382,0.08244444895535707,4.983333333333333,2.5,2.0416666666666665,0.15,1.0,5,1,10,0.0,0.1,10.0,True
epoch,1782452174.3280125,6,1213.8866249250714,1.998331514351916e-05,0.7263019680976868,0.008445010520517826,0.1449456661939621,0.1291908174753189,0.7605183720588684,0.057038839906454086,2.168066203012131e-06,15238,0.16203877329826355,0.07130976021289825,0.17605215078755906,0.4696196326095106,32570,152432,69354,185002,69354,41809,38008,4180900,100.0,100.0,0.6341485381126404,0.7085055112838745,0.48041093349456787,0.845906138420105,0.8777431845664978,0.733540952205658,0.43368804454803467,0.26392131959614734,0.640209154236622,41809,3801,4.424932430816331,46.07328256801702,0.21703780791722238,0.07817860995419323,4.98,2.5,2.05,0.15,1.0,5,1,10,0.0,0.1,10.0,True
epoch,1782453394.7677076,7,1214.2052498438861,1.9976893731317543e-05,0.7393403053283691,0.008307777345180511,0.14347407221794128,0.12907163798809052,0.7576032876968384,0.07363904267549515,1.5903849998721853e-05,15238,0.16251929104328156,0.07180006802082062,0.17792638875329495,0.4730080456786919,32805,151569,69354,184374,69354,41809,38008,4180900,100.0,100.0,0.6338323950767517,0.7105177044868469,0.478192001581192,0.848275363445282,0.8741528987884521,0.7312772274017334,0.4387490153312683,0.2582691817230415,0.6468245255760452,41809,3801,4.409911741491067,46.06152889691293,0.21754581294953823,0.07938533485867083,4.976666666666667,2.5,2.058333333333333,0.15,1.0,5,1,10,0.0,0.1,10.0,True
epoch,1782454625.372265,8,1222.7084143809043,1.9969430668893297e-05,0.7506954073905945,0.008160811848938465,0.14183969795703888,0.12904629111289978,0.7552412748336792,0.0888163149356842,7.660990377189592e-06,15238,0.15872618556022644,0.0693395584821701,0.1747877239213181,0.4734117714911901,32833,155012,69354,187845,69354,41809,38008,4180900,100.0,100.0,0.632134735584259,0.7084506750106812,0.4750969409942627,0.8466288447380066,0.8746142983436584,0.7304553389549255,0.4311647415161133,0.2570435674637354,0.6481050192178869,41809,3801,4.49293214379679,46.18332336097956,0.22676473716273904,0.08602579310536385,4.973333333333334,2.5,2.066666666666667,0.15,1.0,5,1,10,0.0,0.1,10.0,True
epoch,1782455849.095353,9,1218.4597435470205,1.9960926776546913e-05,0.7598481178283691,0.008057201281189919,0.14032377302646637,0.12902623414993286,0.7534624934196472,0.10126575082540512,4.937040557706496e-06,15238,0.15556326508522034,0.06750097870826721,0.17170262795346958,0.47801136199786604,33152,159926,69354,193078,69354,41809,38008,4180900,100.0,100.0,0.6334242820739746,0.7102082967758179,0.4779440462589264,0.847176194190979,0.8758975863456726,0.7318828105926514,0.43613922595977783,0.25387144859478533,0.6531255483521881,41809,3801,4.61809658207563,46.53589645214379,0.23196825594641268,0.07766391383484006,4.97,2.5,2.075,0.15,1.0,5,1,10,0.0,0.1,10.0,True
epoch,1782457192.688584,10,1336.812756845029,1.995138298898143e-05,0.7661368250846863,0.007961742579936981,0.13933075964450836,0.1289425790309906,0.7519635558128357,0.10963636636734009,4.535770131042227e-06,15238,1.45855712890625,0.038494933396577835,0.38198330998420715,0.09706499427556992,0.7557482719421387,0.11018812656402588,2.2407478539321346e-08,3801,0.15479706227779388,0.06646192818880081,0.1706483237968918,0.4786169507166133,33194,161323,69354,194517,69354,41809,38008,4180900,100.0,100.0,0.6339100003242493,0.7103368043899536,0.4760487675666809,0.8476114273071289,0.8751766085624695,0.7316376566886902,0.4384029805660248,0.2530207059720769,0.6541721114831348,41809,3801,4.652515008730178,167.2963282780256,0.2666186857968569,0.0937957470305264,4.966666666666667,2.5,2.0833333333333335,0.15,1.0,5,1,10,0.0,0.1,10.0,True
