type,time,epoch,epoch_time,lr,lr_head,lr_vision,lr_text,lr_transformer,train_loss,train_loss_main,train_loss_aux,train_loss_aux_contrib,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,train_loss_text_negative,train_loss_text_negative_contrib,train_text_negative_queries,score_negative_iou_ignore_thr,duplicate_suppression_enabled,duplicate_loss_weight,duplicate_margin,duplicate_background_weight,duplicate_classification_weight,duplicate_max_pairs,duplicate_start_epoch,hard_negative_mining_enabled,hard_negative_loss_weight,hard_negative_topk,hard_negative_max_iou,hard_negative_start_epoch,matcher_score_alpha,matcher_cost_score_effective,train_negative_text_regression_matches,val_loss,val_loss_bbox,val_loss_giou,val_loss_score,val_loss_rank_raw,val_loss_rank,val_loss_text_negative,val_loss_text_negative_contrib,val_text_negative_queries,val_score_negative_iou_ignore_thr,val_duplicate_suppression_enabled,val_hard_negative_mining_enabled,val_matcher_score_alpha,val_matcher_cost_score_effective,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,raw_oracle_num_gt,raw_oracle_num_samples,raw_oracle_positive_samples,raw_oracle_num_pred,raw_oracle_avg_pred_per_sample,raw_oracle_avg_pred_per_positive_sample,raw_best_iou_mean,raw_best_iou_median,raw_best_iou_p25,raw_best_iou_p75,raw_oracle_recall25,raw_oracle_recall50,raw_oracle_recall75,raw_oracle_gap50,raw_oracle_retention50,valid_samples,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,eval_metric_time,raw_oracle_metric_time,lambda_bbox,lambda_giou,lambda_score,classification_type,ia_bce_alpha,classification_focal_alpha,classification_focal_gamma,normalize_classification_by_num_gt,dense_score_assignment_enabled,pairwise_ranking_enabled,duplicate_suppression_active,hard_negative_mining_active,lambda_rank_max,lambda_aux,pos_weight,quality_warmup_epoch,aux_score_enabled,matcher_score_start_epoch,matcher_score_warmup_epoch,matcher_score_alpha_min,negative_sample_ratio,max_query_loss_weight,lambda_text_negative,text_negative_topk,text_negative_hard_mix,negative_text_as_empty_target,use_negative_queries_in_val
epoch,1783907497.2896311,1,1217.0450327749131,9.99892558349174e-05,9.99892558349174e-05,7.999144852166896e-05,9.998089980500698e-06,9.99892558349174e-05,2.998272180557251,2.718095541000366,3.0875895023345947,0.28017061948776245,0.18038660287857056,0.8303044438362122,0.15153393149375916,0.0,0.0,0.009844101965427399,0.0015356040094047785,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.008546585217118263,0.0036667082458734512,0.003372531972820243,0.21257480712380128,14741,4356159,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.31868088245391846,0.30730217695236206,0.12576088309288025,0.4720463156700134,0.5816136598587036,0.21271900832653046,0.036513086408376694,0.00014420120272917725,0.9993221047622232,43709,5701,100.0,358.76613268000074,2.471066560014151,0.0825802719919011,4.997688000299846,2.0,1.002311999700154,iou,0.25,0.25,2.0,True,False,False,False,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783908617.7760608,2,1117.5079801790416,9.997582497463836e-05,9.997582497463836e-05,7.998075865328359e-05,9.995702492598646e-06,9.997582497463836e-05,2.8288931846618652,2.179395914077759,2.5052127838134766,0.6494995355606079,0.12389644235372543,0.7126495838165283,0.12427988648414612,0.0,0.0,0.00014892566832713783,7.863664359319955e-05,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.025299005210399628,0.011671142652630806,0.005205335285639113,0.3280986372485399,22752,4348148,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.3794005215167999,0.3816688358783722,0.16034866869449615,0.5586377382278442,0.654077410697937,0.328387051820755,0.08327925950288773,0.00028841457221512323,0.9991217236775446,43709,5701,100.0,346.393269516062,2.4508891090517864,0.08319381298497319,4.990766255446354,2.0,1.0092337445536468,iou,0.25,0.25,2.0,True,False,False,False,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783909751.3319666,3,1118.309169840999,9.995702336324347e-05,9.995702336324347e-05,7.996579410543868e-05,9.992360577795361e-06,9.995702336324347e-05,2.8494467735290527,2.035285711288452,2.3261868953704834,0.8141646981239319,0.111819788813591,0.6769643425941467,0.10394855588674545,0.0,0.0,3.7082485505379736e-05,3.6050820199307054e-05,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.035152558237314224,0.015423166565597057,0.005508247729300602,0.34719157834018316,24076,4346824,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.39185845851898193,0.4006199538707733,0.18128499388694763,0.5699599385261536,0.6822842359542847,0.34775397181510925,0.08077006042003632,0.0005623934749260928,0.9983827834604141,43709,5701,100.0,348.3840728820069,2.4550912000704557,0.08825792802963406,4.979277440298257,2.0,1.0207225597017426,iou,0.25,0.25,2.0,True,False,False,False,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783910887.2313793,4,1121.3048766949214,9.993285306254129e-05,9.993285306254129e-05,7.994655651916552e-05,9.98806488760375e-06,9.993285306254129e-05,2.718381881713867,1.9438294172286987,2.212999105453491,0.7745494246482849,0.10444475710391998,0.6545841693878174,0.08710391819477081,0.0,0.0,3.9177710277726874e-05,5.267807136988267e-05,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.029949741438031197,0.014850407838821411,0.005572307762703333,0.35122936044415604,24356,4346544,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.3982372581958771,0.40234145522117615,0.19072400033473969,0.5702582597732544,0.6893215179443359,0.35128703713417053,0.09138365834951401,5.767669001449649e-05,0.9998358132127931,43709,5701,100.0,349.7529428990092,2.4321122739929706,0.08235503290779889,4.963292387221365,2.0,1.0367076127786348,iou,0.25,0.25,2.0,True,False,False,False,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783912098.8725574,5,1204.8026980649447,9.990331672307766e-05,9.990331672307766e-05,7.992304800408224e-05,9.982816259477131e-06,9.990331672307766e-05,2.6355020999908447,1.8889340162277222,2.133056402206421,0.7465692758560181,0.10013625770807266,0.6438426971435547,0.07205760478973389,0.0,0.0,2.3595055608893745e-05,3.538138480507769e-05,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,1.7744879722595215,0.09050291031599045,0.6090759038925171,0.07495526969432831,0.0,0.0,6.314547249530733e-07,9.471011708228616e-07,5701,0.5,True,True,0.0,0.0,0.03363169729709625,0.01708061806857586,0.006119563476629527,0.3857235561323816,26748,4344152,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.4158549904823303,0.41849812865257263,0.20310001075267792,0.5996689200401306,0.7025020122528076,0.38592544198036194,0.10697238147258759,0.00020188584798036535,0.9994768786246784,43709,5701,100.0,425.4378685270203,2.941410029074177,0.12079081393312663,4.942909649383465,2.0,1.057090350616535,iou,0.25,0.25,2.0,True,False,False,True,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783913234.0340433,6,1127.1095252720406,9.986841758384507e-05,9.986841758384507e-05,7.989527113816241e-05,9.976615716645957e-06,9.986841758384507e-05,2.5418877601623535,1.8220136165618896,2.056786060333252,0.7198740839958191,0.0951245129108429,0.6283766627311707,0.06078723445534706,0.0,0.0,2.289358053531032e-05,3.435275357333012e-05,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.0383787639439106,0.019867440685629845,0.006355441671051729,0.4005912466652246,27779,4343121,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.421010822057724,0.4304018020629883,0.20588339865207672,0.6063876748085022,0.7045785784721375,0.4009229242801666,0.10690028220415115,0.0003316776149420164,0.999172714766716,43709,5701,100.0,347.95848569704685,2.4085706420009956,0.08334520400967449,4.918254893141276,2.0,1.081745106858724,iou,0.25,0.25,2.0,True,False,False,True,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783914385.9636464,7,1136.9387913929531,9.98281594719274e-05,9.98281594719274e-05,7.986322896745242e-05,9.969464467918335e-06,9.98281594719274e-05,2.46566104888916,1.7678371667861938,1.9937807321548462,0.6978240609169006,0.09107864648103714,0.614872932434082,0.052676815539598465,0.0,0.0,5.1458227972034365e-05,7.71792110754177e-05,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.03755311295390129,0.01978081464767456,0.006688096273078771,0.42155887230514094,29233,4341667,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.4335746467113495,0.4437251389026642,0.21736186742782593,0.6255742311477661,0.7187396287918091,0.4215588867664337,0.12159492075443268,1.4461292774381462e-08,0.9999999656956756,43709,5701,100.0,357.43244919506833,2.8781136909965426,0.0863597309216857,4.889480123265569,2.0,1.1105198767344309,iou,0.25,0.25,2.0,True,False,False,True,False,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783915540.349583,8,1146.5969172860496,9.978254680208029e-05,9.978254680208029e-05,7.982692500573738e-05,9.961363907444379e-06,9.978254680208029e-05,2.4077322483062744,1.7286584377288818,1.940211296081543,0.6790729761123657,0.08722253888845444,0.6069018244743347,0.04712603986263275,0.0,0.0,2.8753571314155124e-05,4.310186704969965e-05,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.03307287395000458,0.016228852793574333,0.006839323709075934,0.43109092220059125,29894,4341006,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.43987879157066345,0.4520089328289032,0.22326263785362244,0.6359813809394836,0.7243348360061646,0.4312207102775574,0.12951186299324036,0.00012978807696611971,0.9996990216984648,43709,5701,100.0,348.8381354189478,2.473732683924027,0.08702591597102582,4.856762745781211,2.0,1.1432372542187894,iou,0.25,0.25,2.0,True,False,False,True,True,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783916726.8081617,9,1179.6667309729382,9.973158457624699e-05,9.973158457624699e-05,7.978636323415576e-05,9.952315614444399e-06,9.973158457624699e-05,2.340890645980835,1.681885838508606,1.8828749656677246,0.6590047478675842,0.08316122740507126,0.5940294861793518,0.04380354657769203,0.0,0.0,1.7135918824351393e-05,2.570504329924006e-05,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,,,,,,,,,,,,,,,0.037942081689834595,0.019272487610578537,0.007291404516232355,0.4595861273343428,31870,4339030,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.4534193277359009,0.4669584631919861,0.23654767870903015,0.6590969562530518,0.7360299825668335,0.4596726596355438,0.14681664109230042,8.653230120103661e-05,0.999811752342918,43709,5701,100.0,378.08447661600076,2.4355405679671094,0.08883356396108866,4.820304474200023,2.0,1.1796955257999768,iou,0.25,0.25,2.0,True,False,False,True,True,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
epoch,1783917927.803326,10,1194.2366325659677,9.967527838300985e-05,9.967527838300985e-05,7.974154810076294e-05,9.942321352901047e-06,9.967527838300985e-05,2.2860569953918457,1.642946481704712,1.8374565839767456,0.6431106925010681,0.07946371287107468,0.5839647054672241,0.04137369245290756,0.0,0.0,3.183439184795134e-05,4.774979242938571e-05,22856,0.5,True,0.1,0.15,0.05,0.25,128,5,True,0.05,10,0.25,8,0.0,0.0,0,1.5663621425628662,0.0727914497256279,0.5610159039497375,0.043042927980422974,0.0,0.0,6.95241567427729e-07,1.0434722526042606e-06,5701,0.5,True,True,0.0,0.0,0.03383852168917656,0.017033493146300316,0.0074243290855430235,0.4679645252000865,32451,4338449,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.46033936738967896,0.4775444567203522,0.2432219535112381,0.6612038016319275,0.7436296939849854,0.4681231379508972,0.1472492665052414,0.00015861275081069381,0.9996611730163457,43709,5701,100.0,391.7786966999993,2.4495464229257777,0.08677452697884291,4.7803300858899105,2.0,1.2196699141100893,iou,0.25,0.25,2.0,True,False,False,True,True,0.1,0.35,1.0,10,True,10,20,0.0,0.15,4.0,0.0,20,0.5,True,True
