type,time,epoch,epoch_time,lr,train_loss,train_loss_main,train_loss_aux,train_loss_aux_contrib,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,train_loss_text_negative,train_loss_text_negative_contrib,train_text_negative_queries,score_negative_iou_ignore_thr,duplicate_suppression_enabled,duplicate_loss_weight,duplicate_margin,duplicate_background_weight,duplicate_classification_weight,duplicate_max_pairs,duplicate_start_epoch,hard_negative_mining_enabled,hard_negative_loss_weight,hard_negative_topk,hard_negative_max_iou,hard_negative_start_epoch,matcher_score_alpha,matcher_cost_score_effective,train_negative_text_regression_matches,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,raw_oracle_num_gt,raw_oracle_num_samples,raw_oracle_positive_samples,raw_oracle_num_pred,raw_oracle_avg_pred_per_sample,raw_oracle_avg_pred_per_positive_sample,raw_best_iou_mean,raw_best_iou_median,raw_best_iou_p25,raw_best_iou_p75,raw_oracle_recall25,raw_oracle_recall50,raw_oracle_recall75,raw_oracle_gap50,raw_oracle_retention50,valid_samples,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,eval_metric_time,raw_oracle_metric_time,lambda_bbox,lambda_giou,lambda_score,classification_type,ia_bce_alpha,classification_focal_alpha,classification_focal_gamma,normalize_classification_by_num_gt,dense_score_assignment_enabled,pairwise_ranking_enabled,duplicate_suppression_active,hard_negative_mining_active,lambda_rank_max,lambda_aux,pos_weight,quality_warmup_epoch,aux_score_enabled,matcher_score_start_epoch,matcher_score_warmup_epoch,matcher_score_alpha_min,negative_sample_ratio,max_query_loss_weight,lambda_text_negative,text_negative_topk,text_negative_hard_mix,negative_text_as_empty_target,use_negative_queries_in_val
epoch,1783068794.7587562,1,1069.2698543537408,9.999968791003731e-05,3.1750447750091553,2.7405965328216553,3.3514599800109863,0.4344480335712433,0.18459808826446533,0.8374501466751099,0.12754091620445251,0.0,0.0,0.5752778053283691,0.014959211461246014,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.0,0.0,0,0.002763706026598811,0.0007216613157652318,0.003976297787640989,0.2506309034537458,17380,4353520,69345,4370900,69345,43709,38008,4370900,100.0,100.0,0.3324979543685913,0.3137660026550293,0.12098238617181778,0.5005577206611633,0.584757387638092,0.25070300698280334,0.05514456704258919,7.210352905756556e-05,0.9997123946380806,43709,5701,100.0,348.22250286396593,2.865701589733362,0.11032611783593893,4.995891421526205,2.0,1.0082171569475902,iou,0.25,0.25,2.0,True,False,False,False,False,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783069797.781715,2,999.5481773843057,9.999526501865343e-05,3.104728937149048,2.1113455295562744,2.682130813598633,0.9933802485466003,0.12204426527023315,0.7042241096496582,0.09110590070486069,0.0,0.0,0.006665702443569899,0.0005865995772182941,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.0,0.0,0,0.017442718148231506,0.008883491158485413,0.005337515210641769,0.3286033600115365,22787,4246428,69345,4269215,69345,43709,38008,4370900,100.0,100.0,0.38559871912002563,0.38153210282325745,0.16804508864879608,0.559988260269165,0.6583603620529175,0.3287908136844635,0.09298435598611832,0.000187453672926996,0.9994298694941431,43709,5701,97.67359125122972,369.1722912979312,2.5474523617886007,0.09721036674454808,4.983610700550354,2.0,1.0327785988992915,iou,0.25,0.25,2.0,True,False,False,False,False,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783070799.6153443,3,984.4596727569588,9.998561093266023e-05,3.170057535171509,1.9386053085327148,2.462902307510376,1.231451153755188,0.106781966984272,0.662143349647522,0.07811664044857025,0.0,0.0,0.0029684111941605806,0.00048079044790938497,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.0,0.0,0,0.021629920229315758,0.009271425195038319,0.006963659517031728,0.38553608767755426,26735,3812482,69345,3839217,69345,43709,38008,4370900,100.0,100.0,0.41048821806907654,0.4171852469444275,0.1913330852985382,0.5917636752128601,0.6912826895713806,0.38562262058258057,0.10078592598438263,8.653290502630417e-05,0.9997756021031765,43709,5701,87.8358461644055,349.6895918189548,2.2497022631578147,0.08476814022287726,4.963292387221365,2.0,1.0734152255572698,iou,0.25,0.25,2.0,True,False,False,False,False,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783071811.904768,4,998.0985986031592,9.997072671537213e-05,3.0277557373046875,1.8559952974319458,2.34352445602417,1.171762228012085,0.10010433197021484,0.6431007385253906,0.06680301576852798,0.0,0.0,0.001315842499025166,0.000294704019324854,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.0,0.0,0,0.018126824870705605,0.007783306296914816,0.007326420552401273,0.40364842454394695,27991,3792565,69345,3820556,69345,43709,38008,4370900,100.0,100.0,0.42140671610832214,0.4269760251045227,0.1986556202173233,0.6168415546417236,0.6984209418296814,0.4036772549152374,0.11168793588876724,2.8830371290478052e-05,0.9999285806397575,43709,5701,87.40890892035965,357.87257172493264,2.2539648478850722,0.09052306693047285,4.935159093231951,2.0,1.1296818135360986,iou,0.25,0.25,2.0,True,False,False,False,False,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783072818.798621,5,998.9495194321498,9.995061400615757e-05,2.9235727787017822,1.7963852882385254,2.2543623447418213,1.1271811723709106,0.09535755962133408,0.6291792392730713,0.056799158453941345,0.0,0.0,0.001181941363029182,0.0002954853407572955,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.0,0.0,0,1.6756402254104614,0.08542957901954651,0.5919376611709595,0.05919905751943588,0.0,0.0,2.6068400416079385e-07,6.517100104019846e-08,5701,0.5,True,True,0.0,0.0,0.022523988038301468,0.010715126991271973,0.007630449000185137,0.4196120845050112,29098,3784308,69345,3813406,69345,43709,38008,4370900,100.0,100.0,0.4310932457447052,0.44371211528778076,0.21836157143115997,0.6184656620025635,0.7183502912521362,0.4198572337627411,0.11082269996404648,0.00024514925772989304,0.9994161128164141,43709,5701,87.2453270493491,357.1127354740165,2.182943362277001,0.08595821773633361,4.899519052838329,2.0,1.200961894323342,iou,0.25,0.25,2.0,True,False,False,True,False,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783073824.2597673,6,991.0876916325651,9.992527502025836e-05,2.823357343673706,1.7370706796646118,2.1725776195526123,1.0862888097763062,0.09034672379493713,0.6132850646972656,0.04932664707303047,0.0,0.0,0.0009035629336722195,0.00022589073341805488,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.019675925925925927,0.03935185185185185,0,0.025352396070957184,0.012672768905758858,0.008036031920437822,0.44138726656572214,30608,3778237,69345,3808845,69345,43709,38008,4370900,100.0,100.0,0.4435843825340271,0.45670658349990845,0.22845853865146637,0.6372511982917786,0.7279977202415466,0.4414593577384949,0.12704592943191528,7.209117277273691e-05,0.9998366980526995,43709,5701,87.14097783065273,344.301251555793,2.1681886482983828,0.0856781997717917,4.856762745781211,2.0,1.2864745084375788,iou,0.25,0.25,2.0,True,False,False,True,False,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783074827.3579423,7,988.2757750805467,9.989471254854566e-05,2.7395193576812744,1.687989592552185,2.1030590534210205,1.0515295267105103,0.08569324761629105,0.5993253588676453,0.04463084414601326,0.0,0.0,0.0007805739296600223,0.00019514348241500556,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.07407407407407407,0.14814814814814814,0,0.024045825004577637,0.012604659423232079,0.008547149930379798,0.46942101088759103,32552,3775969,69345,3808521,69345,43709,38008,4370900,100.0,100.0,0.45705729722976685,0.47667551040649414,0.2355659455060959,0.6560605764389038,0.7367510199546814,0.4695940613746643,0.1470906287431717,0.00017305048707327852,0.9996314891918209,43709,5701,87.1335651696447,339.8539723921567,2.185460286680609,0.08335610292851925,4.8073586191080455,2.0,1.3852827617839085,iou,0.25,0.25,2.0,True,False,False,True,False,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783075821.7105258,8,986.8145475932397,9.985892995721265e-05,2.659522771835327,1.642484426498413,2.034088134765625,1.0170440673828125,0.08118341118097305,0.586892306804657,0.04102193936705589,0.0,0.0,0.000617173092905432,0.000154293273226358,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.15625,0.3125,0,0.027042225003242493,0.01435939408838749,0.008662454587204653,0.475463263393179,32971,3773225,69345,3806196,69345,43709,38008,4370900,100.0,100.0,0.46249300241470337,0.4817150831222534,0.24589213728904724,0.6640092134475708,0.7461244463920593,0.4754776954650879,0.1532915085554123,1.443207190887641e-05,0.9999696472157442,43709,5701,87.08037246333707,340.8765135370195,2.179445816203952,0.08514032606035471,4.7518479547691435,2.0,1.4963040904617126,iou,0.25,0.25,2.0,True,False,False,True,False,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783076831.9431334,9,996.5154816219583,9.981793118740377e-05,2.5910885334014893,1.6025705337524414,1.9770441055297852,0.9885220527648926,0.0775628462433815,0.5762528777122498,0.0387040413916111,0.0,0.0,0.0005685953656211495,0.00014214884140528738,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.25925925925925924,0.5185185185185185,0,0.026427533477544785,0.013738894835114479,0.008978647629793102,0.49276804383877715,34171,3771636,69345,3805807,69345,43709,38008,4370900,100.0,100.0,0.4720510244369507,0.494726300239563,0.25865980982780457,0.6739739179611206,0.7580935955047607,0.49284014105796814,0.16066046059131622,7.209721919099188e-05,0.9998537107406953,43709,5701,87.07147269441076,353.0927682109177,2.208406527992338,0.109573885332793,4.690838939219355,2.0,1.6183221215612904,iou,0.25,0.25,2.0,True,False,False,True,False,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783077872.0238225,10,1032.0778395277448,9.97717207547806e-05,2.5503952503204346,1.5779694318771362,1.9448397159576416,0.9724198579788208,0.07537849247455597,0.5694921612739563,0.03773317113518715,0.0,0.0,0.00042508268961682916,0.00010627067240420729,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.37615740740740744,0.7523148148148149,0,1.4874516725540161,0.06837239861488342,0.5383487343788147,0.04013196751475334,0.0,0.0,1.0474588663100803e-07,2.618647165775201e-08,5701,0.5,True,True,0.37615740740740744,0.7523148148148149,0.030570922419428825,0.01762607879936695,0.009229319021802527,0.5065974475448842,35130,3771218,69345,3806348,69345,43709,38008,4370900,100.0,100.0,0.48026803135871887,0.5049375891685486,0.2612479627132416,0.6877481341362,0.7592616677284241,0.5067993402481079,0.17564351856708527,0.0002018927032236828,0.9996016318744124,43709,5701,87.0838500080075,357.82152096088976,2.366712496150285,0.08673585578799248,4.625,2.0,1.7499999999999998,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783078895.6321044,11,1007.8976724068634,9.97203037490245e-05,2.489717960357666,1.542534351348877,1.8943616151809692,0.9471808075904846,0.07194281369447708,0.558960497379303,0.03731474652886391,0.0,0.0,0.00030855313525535166,7.713828381383792e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.5,1.0,0,0.034149762243032455,0.01937328651547432,0.009484181463216624,0.5202249621457927,36075,3767627,69345,3803702,69345,43709,38008,4370900,100.0,100.0,0.4882478415966034,0.5163707733154297,0.2789391577243805,0.6914735436439514,0.7734659910202026,0.5202826261520386,0.17616266012191772,5.766400624585e-05,0.9998891679188437,43709,5701,87.02331327644193,348.14123999513686,2.632915933150798,0.08701196871697903,4.55505248230685,2.0,1.8898950353862993,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783079919.5962903,12,1008.9632632760331,9.966368583327607e-05,2.4434657096862793,1.5154026746749878,1.8561280965805054,0.9280640482902527,0.06914323568344116,0.5503621101379395,0.037269216030836105,0.0,0.0,0.00032491100137121975,8.122775034280494e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.6238425925925927,1.2476851851851853,0,0.04100615158677101,0.023058179765939713,0.00967223774589137,0.5304636239094384,36785,3766368,69345,3803153,69345,43709,38008,4370900,100.0,100.0,0.4947265386581421,0.5233756303787231,0.2882058918476105,0.6982208490371704,0.7803590893745422,0.5306222438812256,0.18089263141155243,0.00015861997178723275,0.9997010679940083,43709,5701,87.01075293417831,341.88679999206215,2.2138366382569075,0.08678912511095405,4.481762745781211,2.0,2.036474508437579,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783080946.5423598,13,1012.2791014290415,9.960187324351141e-05,2.4115428924560547,1.498854398727417,1.8253825902938843,0.9126912951469421,0.06781719624996185,0.5445948243141174,0.036772582679986954,0.0,0.0,0.00045889397733844817,0.00011472349433461204,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.7407407407407407,1.4814814814814814,0,0.051925599575042725,0.030495498329401016,0.009679556442390352,0.5309539260220636,36819,3766971,69345,3803790,69345,43709,38008,4370900,100.0,100.0,0.49563121795654297,0.5227635502815247,0.2834646999835968,0.7000294923782349,0.7798687815666199,0.5310404300689697,0.1891845166683197,8.650404690613289e-05,0.9998371045931571,43709,5701,87.02532659177744,357.11223378777504,2.178593093995005,0.08705601887777448,4.40593376811332,2.0,2.1881324637733615,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783081964.3452687,14,1004.7738518011756,9.953487278785514e-05,2.3640758991241455,1.4703916311264038,1.7873538732528687,0.8936769366264343,0.06535812467336655,0.5357189178466797,0.036542266607284546,0.0,0.0,0.0003156733000651002,7.891832501627505e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.84375,1.6875,0,0.06008008122444153,0.035976313054561615,0.00998616050552291,0.5475376739490951,37969,3764193,69345,3802162,69345,43709,38008,4370900,100.0,100.0,0.5067701935768127,0.538914680480957,0.3028080463409424,0.7148251533508301,0.7903814315795898,0.5476385951042175,0.20385031402111053,0.00010092115512239097,0.9998157157730945,43709,5701,86.98808025807043,349.1279723700136,2.2252434687688947,0.08466374827548862,4.32839634745074,2.0,2.34320730509852,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783082992.3382661,15,1012.9977706251666,9.946269184583079e-05,2.3319754600524902,1.452613353729248,1.758724570274353,0.8793622851371765,0.063809834420681,0.5306345224380493,0.03596661239862442,0.0,0.0,0.00024703919189050794,6.175979797262698e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.925925925925926,1.851851851851852,0,1.391230583190918,0.059713222086429596,0.5066266059875488,0.0374193973839283,0.0,0.0,5.926816259993473e-10,1.4817040649983682e-10,5701,0.5,True,True,0.925925925925926,1.851851851851852,0.0666079968214035,0.0398692786693573,0.010083980116673542,0.5527867906842598,38333,3763043,69345,3801376,69345,43709,38008,4370900,100.0,100.0,0.5104436874389648,0.5405216813087463,0.30669209361076355,0.7188683152198792,0.7943615317344666,0.552931010723114,0.20657581090927124,0.00014422003885417034,0.9997391717301847,43709,5701,86.97009769155093,358.1416334398091,2.2196171628311276,0.08853811491280794,4.25,2.0,2.5,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
