type,time,epoch,epoch_time,lr,train_loss,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,train_loss_text_negative,train_text_negative_queries,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,raw_oracle_num_gt,raw_oracle_num_samples,raw_oracle_positive_samples,raw_oracle_num_pred,raw_oracle_avg_pred_per_sample,raw_oracle_avg_pred_per_positive_sample,raw_best_iou_mean,raw_best_iou_median,raw_best_iou_p25,raw_best_iou_p75,raw_oracle_recall25,raw_oracle_recall50,raw_oracle_recall75,raw_oracle_gap50,raw_oracle_retention50,valid_samples,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,eval_metric_time,raw_oracle_metric_time,lambda_bbox,lambda_giou,lambda_score,lambda_rank_max,pos_weight,quality_warmup_epoch,rank_start_epoch,rank_warmup_epoch,rank_alpha_min,negative_sample_ratio,max_query_loss_weight,use_negative_queries_in_val
epoch,1782699157.6569257,1,1359.7406544680707,0.00014997653660560025,2.837364912033081,0.1831812709569931,0.8013030886650085,0.1597195863723755,0.0,0.0,1.2458339929580688,15238,0.0005324030062183738,0.00013555961777456105,0.006814573806063099,0.04252097932347089,2949,429800,69354,432749,69354,41809,38008,16723600,400.0,400.0,0.293948233127594,0.24656471610069275,0.09795751422643661,0.45334842801094055,0.4948236644268036,0.20089684426784515,0.04648614302277565,0.15837586494437428,0.2116557852286615,41809,3801,10.350618287928436,89.95618797792122,0.4961691349744797,0.11510085966438055,4.975,2.0,2.025,0.01,2.5,8,15,25,0.0,0.1,10.0,True
epoch,1782700512.7545888,2,1352.3920889263973,0.00014988372345180718,2.4521539211273193,0.14369386434555054,0.7382228970527649,0.12898793816566467,0.0,0.0,1.0074530839920044,15238,2.520913600921631,0.15295027196407318,0.7510210275650024,0.1276913285255432,0.0,0.0,1.0155277252197266,3801,0.0003900426090694964,0.00010726247273851186,0.008315332010190394,0.03280272226547856,2275,271316,69354,273591,69354,41809,38008,16723600,400.0,400.0,0.2828015089035034,0.24087882041931152,0.07990030944347382,0.4351963996887207,0.48602819442749023,0.1884101927280426,0.04335726797580719,0.15560747046256404,0.17410269471369352,41809,3801,6.5438302757779425,178.99441413022578,0.27947318693622947,0.0815060748718679,4.95,2.0,2.05,0.01,2.5,8,15,25,0.0,0.1,10.0,True
epoch,1782701745.0536926,3,1226.5130017902702,0.0001497204500415668,2.301708221435547,0.13280463218688965,0.7155404090881348,0.10436642915010452,0.0,0.0,0.8121578693389893,15238,5.6872472953273245e-08,9.487111540806836e-09,0.00013735792040108513,0.00040372581249819764,28,203819,69354,203847,69354,41809,38008,16723600,400.0,400.0,0.19151049852371216,0.14156825840473175,0.0225344467908144,0.3197057545185089,0.34234505891799927,0.07102690637111664,0.004340052604675293,0.07062318055861844,0.005684124976367748,41809,3801,4.875672702049798,53.23615473974496,0.32742519676685333,0.08965506078675389,4.925,2.0,2.075,0.01,2.5,8,15,25,0.0,0.1,10.0,True
epoch,1782703111.8739233,4,1358.1896018236876,0.00014948687810247888,2.209249258041382,0.12699010968208313,0.7053771018981934,0.08392679691314697,0.0,0.0,0.6426171064376831,15238,3.2172610759735107,0.253902792930603,0.9190844893455505,0.06426934897899628,0.0,0.0,0.6485441327095032,3801,7.804244887665845e-06,1.2571888419188326e-06,0.0013297572629538642,0.005104247772298642,354,265860,69354,266214,69354,41809,38008,16723600,400.0,400.0,0.1738656610250473,0.1119813397526741,0.011889128014445305,0.2895830273628235,0.29112955927848816,0.07096923142671585,0.005608905106782913,0.0658649836544172,0.0719219818178443,41809,3801,6.367385012796288,184.68803111976013,0.31616008235141635,0.09121198579668999,4.9,2.0,2.1,0.01,2.5,8,15,25,0.0,0.1,10.0,True
