type,time,epoch,lr,train_loss,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,valid_samples,skipped_empty_gt,avg_selected_per_sample,lambda_bbox,lambda_giou,lambda_score,lambda_rank_max,pos_weight,quality_warmup_epoch,rank_start_epoch,rank_warmup_epoch,rank_alpha_min,amp_dtype,allow_tf32,channels_last,query_budget_batching
epoch,1781757101.9990578,1,9.999981872158474e-05,3.9152159690856934,0.26937639713287354,1.0989686250686646,0.18545031547546387,0.0,0.0,3.2441269013361307e-06,4.852635294483321e-07,0.0007682585313870784,0.0026069040911575496,62,80640,23783,80702,12669,0,6.370037098429237,4.986666666666666,2.0,2.0166666666666666,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781759081.7756696,2,9.999438551132195e-05,3.0992186069488525,0.18541370332241058,0.9344276785850525,0.15159079432487488,0.0,0.0,0.0011843240354210138,0.0002846918736516102,0.009209692908076742,0.07581045284446873,1803,193969,23783,195772,12669,0,15.452837635172468,4.973333333333334,2.0,2.033333333333333,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781761268.1860769,3,9.998135298716211e-05,2.8609399795532227,0.1632830798625946,0.8822290301322937,0.13980501890182495,0.0,0.0,0.004835058934986591,0.0015836349808992622,0.015275969147550836,0.12824286254887945,3050,196610,23783,199660,12669,0,15.759728471071119,4.96,2.0,2.05,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781763333.4250474,4,9.996088712580143e-05,2.694594383239746,0.15001125633716583,0.8436534404754639,0.12833616137504578,0.0,0.0,0.004303102847188711,0.0010468096339337762,0.016580460036958965,0.15014926628263886,3571,211803,23783,215374,12669,0,17.000078932828163,4.946666666666666,2.0,2.066666666666667,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781765674.022305,5,9.993278022316859e-05,2.614698648452759,0.14392971992492676,0.8271329998970032,0.12018195539712906,0.0,0.0,2.5450751781463623,0.13903628289699554,0.8021032810211182,0.12237881124019623,0.0,0.0,0.006746194325387478,0.001883760806850887,0.02106837147666631,0.197872429886894,4706,218662,23783,223368,12669,0,17.631067961165048,4.933333333333334,2.0,2.0833333333333335,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781767756.1951299,6,9.989690905996974e-05,2.5344698429107666,0.1371869295835495,0.8105894327163696,0.11349219083786011,0.0,0.0,0.012531411834061146,0.0038409129935644158,0.021860348453568466,0.19055627969558087,4532,202784,23783,207316,12669,0,16.364038203488832,4.92,2.0,2.1,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781769840.7249649,7,9.985346852166186e-05,2.508549451828003,0.1363275796175003,0.8078892230987549,0.10575920343399048,0.0,0.0,0.013618510216474533,0.0039496468610877855,0.02592802493624256,0.23853172434091577,5673,213125,23783,218798,12669,0,17.27034493645907,4.906666666666666,2.0,2.1166666666666667,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781771838.2869406,8,9.980279592220009e-05,2.450380325317383,0.1325150579214096,0.7944939136505127,0.09982199966907501,0.0,0.0,0.018452800810337067,0.006672121228803007,0.025682879457828836,0.2090568893747635,4972,188620,23783,193592,12669,0,15.28076406977662,4.8933333333333335,2.0,2.1333333333333333,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781773921.119961,9,9.974427187180388e-05,2.4159934520721436,0.13044115900993347,0.7875950336456299,0.09500067681074142,0.0,0.0,0.016896380111575127,0.006054001344364224,0.023617375956069817,0.20253962914686963,4817,199143,23783,203960,12669,0,16.09913963217302,4.88,2.0,2.15,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781776211.675827,10,9.967819526172627e-05,2.3739306926727295,0.12693803012371063,0.7804940342903137,0.0900803655385971,0.0,0.0,2.3436620235443115,0.12510384619235992,0.7674804329872131,0.09224414825439453,0.0,0.0,0.026554076001048088,0.008458382504613837,0.03236686039295678,0.25219694739940296,5998,179315,23783,185313,12669,0,14.627279185413213,4.866666666666666,2.0,2.1666666666666665,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
