type,time,epoch,epoch_time,lr,train_loss,train_loss_main,train_loss_aux,train_loss_aux_contrib,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,train_loss_text_negative,train_loss_text_negative_contrib,train_text_negative_queries,score_negative_iou_ignore_thr,duplicate_suppression_enabled,duplicate_loss_weight,duplicate_margin,duplicate_background_weight,duplicate_classification_weight,duplicate_max_pairs,duplicate_start_epoch,hard_negative_mining_enabled,hard_negative_loss_weight,hard_negative_topk,hard_negative_max_iou,hard_negative_start_epoch,matcher_score_alpha,matcher_cost_score_effective,train_negative_text_regression_matches,val_loss,val_loss_bbox,val_loss_giou,val_loss_score,val_loss_rank_raw,val_loss_rank,val_loss_text_negative,val_loss_text_negative_contrib,val_text_negative_queries,val_score_negative_iou_ignore_thr,val_duplicate_suppression_enabled,val_hard_negative_mining_enabled,val_matcher_score_alpha,val_matcher_cost_score_effective,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,raw_oracle_num_gt,raw_oracle_num_samples,raw_oracle_positive_samples,raw_oracle_num_pred,raw_oracle_avg_pred_per_sample,raw_oracle_avg_pred_per_positive_sample,raw_best_iou_mean,raw_best_iou_median,raw_best_iou_p25,raw_best_iou_p75,raw_oracle_recall25,raw_oracle_recall50,raw_oracle_recall75,raw_oracle_gap50,raw_oracle_retention50,valid_samples,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,eval_metric_time,raw_oracle_metric_time,lambda_bbox,lambda_giou,lambda_score,classification_type,ia_bce_alpha,classification_focal_alpha,classification_focal_gamma,normalize_classification_by_num_gt,dense_score_assignment_enabled,pairwise_ranking_enabled,duplicate_suppression_active,hard_negative_mining_active,lambda_rank_max,lambda_aux,pos_weight,quality_warmup_epoch,aux_score_enabled,matcher_score_start_epoch,matcher_score_warmup_epoch,matcher_score_alpha_min,negative_sample_ratio,max_query_loss_weight,lambda_text_negative,text_negative_topk,text_negative_hard_mix,negative_text_as_empty_target,use_negative_queries_in_val
epoch,1783299690.7202084,16,1102.6897693050005,9.938533836754775e-05,2.287848949432373,1.4265435934066772,1.7226133346557617,0.8613066673278809,0.061802104115486145,0.5213983058929443,0.03626579791307449,0.0,0.0,0.00021064911561552435,5.266227890388109e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,0.9803240740740741,1.9606481481481481,0,,,,,,,,,,,,,,,0.07686169445514679,0.04557967931032181,0.010293779538288566,0.5642944696805826,39131,3762291,69345,3801422,69345,43709,38008,4370900,100.0,100.0,0.5179606676101685,0.5517957210540771,0.3174172639846802,0.7253188490867615,0.8017016649246216,0.5643521547317505,0.2173047810792923,5.7685051167877255e-05,0.9998977853620576,43709,5701,86.97115010638541,356.7542902660002,2.7796272819996375,0.1479861100006019,4.17160365254926,2.0,2.6567926949014797,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783300719.2455444,17,1013.2533885440007,9.930282087282583e-05,2.260038137435913,1.4136996269226074,1.692671537399292,0.846335768699646,0.06062620133161545,0.518160343170166,0.035648658871650696,0.0,0.0,0.00018865449237637222,4.7163623094093055e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,1.0,2.0,0,,,,,,,,,,,,,,,0.08233197033405304,0.0491366870701313,0.010299143163062094,0.5645540413872666,39149,3762041,69345,3801190,69345,43709,38008,4370900,100.0,100.0,0.5186131596565247,0.5497940182685852,0.3150250315666199,0.7300824522972107,0.8028120398521423,0.5647703409194946,0.22105415165424347,0.0002162995322280148,0.9996170132945086,43709,5701,86.96584227504633,355.0651820910007,2.0573966779993498,0.08592149900050572,4.09406623188668,2.0,2.8118675362266385,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783301715.1328723,18,982.1738958290007,9.921514845025677e-05,2.231438398361206,1.3960989713668823,1.6706739664077759,0.8353369832038879,0.059258922934532166,0.5114246606826782,0.035777028650045395,0.0,0.0,0.00017953118367586285,4.488279591896571e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,1.0,2.0,0,,,,,,,,,,,,,,,0.08503430336713791,0.05111118406057358,0.010503365512226831,0.5757733073761626,39927,3761426,69345,3801353,69345,43709,38008,4370900,100.0,100.0,0.5252260565757751,0.559714138507843,0.32936611771583557,0.7351324558258057,0.8096474409103394,0.5760761499404907,0.22853846848011017,0.00030284256432810963,0.9994743011590406,43709,5701,86.96957148413371,327.84991482999976,2.1813229370000045,0.08274623900069855,4.018237254218789,2.0,2.963525491562421,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783302706.5753033,19,978.4606246879994,9.912233075620325e-05,2.204714298248291,1.3792994022369385,1.6508318185806274,0.8254159092903137,0.05784580856561661,0.5064083337783813,0.03524567931890488,0.0,0.0,0.00019129840075038373,4.7824600187595934e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,1.0,2.0,0,,,,,,,,,,,,,,,0.09588076174259186,0.056196074932813644,0.010620148818880031,0.5821616554906627,40370,3760895,69345,3801265,69345,43709,38008,4370900,100.0,100.0,0.5276151299476624,0.5632659792900085,0.3321094512939453,0.738097071647644,0.8097627758979797,0.5822337865829468,0.23303771018981934,7.213109228410008e-05,0.9998761131800553,43709,5701,86.96755816879819,329.2945055319997,2.1119720389997383,0.08480772199982312,3.9449475176931497,2.0,3.1101049646137002,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783303715.3297758,20,994.691020579,9.902437801373527e-05,2.178966760635376,1.365069031715393,1.6277917623519897,0.8138958811759949,0.0568624846637249,0.5010406970977783,0.03502482548356056,0.0,0.0,8.481220720568672e-05,2.120305180142168e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,1.0,2.0,0,1.330583930015564,0.05535723268985748,0.48346835374832153,0.03630482032895088,0.0,0.0,1.9070243162389033e-09,4.767560790597258e-10,5701,0.5,True,True,1.0,2.0,0.09628301113843918,0.05690758302807808,0.010778868125456103,0.5908573076645757,40973,3760261,69345,3801234,69345,43709,38008,4370900,100.0,100.0,0.5328494310379028,0.5708238482475281,0.33894941210746765,0.7414402365684509,0.8166558742523193,0.5910015106201172,0.23672939836978912,0.00014420295554151696,0.9997560023909411,43709,5701,86.96684893271409,345.7980723950004,2.3637792779991287,0.08921940899926994,3.875,2.0,3.2499999999999996,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783304704.7373333,21,975.7774932320008,9.892130101150432e-05,2.15214467048645,1.3482640981674194,1.6077632904052734,0.8038816452026367,0.055497489869594574,0.49452027678489685,0.03518057242035866,0.0,0.0,0.00011267301306361333,2.816825326590333e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,1.0,2.0,0,,,,,,,,,,,,,,,0.10272444784641266,0.06094033271074295,0.010891945920353517,0.5971447112264763,41409,3760391,69345,3801800,69345,43709,38008,4370900,100.0,100.0,0.5375322103500366,0.5767902731895447,0.3441782593727112,0.746192455291748,0.8201889395713806,0.5972456336021423,0.2441416084766388,0.00010092237566605711,0.9998310203206386,43709,5701,86.97979821089478,327.9339656400007,2.13173941399873,0.09068709500024852,3.8091610607806454,2.0,3.381677878438709,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783305710.2291617,22,993.353099218999,9.881311110255485e-05,2.1364388465881348,1.3404566049575806,1.5919644832611084,0.7959822416305542,0.05456768721342087,0.4920009970664978,0.03513728082180023,0.0,0.0,0.00017533308709971607,4.383327177492902e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,1.0,2.0,0,,,,,,,,,,,,,,,0.0991586297750473,0.0601687915623188,0.010824898740164025,0.5934386040810441,41152,3760454,69345,3801606,69345,43709,38008,4370900,100.0,100.0,0.5378663539886475,0.5798484683036804,0.33526846766471863,0.7509028911590576,0.8153147101402283,0.593712568283081,0.2515970766544342,0.00027396420203695815,0.9995385575164272,43709,5701,86.97535976572331,336.79684531400017,2.5157341270005418,0.08576122999875224,3.7481520452308565,2.0,3.503695909538287,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783306713.354863,23,995.9280030350001,9.869982020307412e-05,2.108957529067993,1.3235162496566772,1.570878028869629,0.7854390144348145,0.05356926843523979,0.4851703941822052,0.03494567796587944,0.0,0.0,0.00011216971324756742,2.8042428311891854e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,1.0,2.0,0,,,,,,,,,,,,,,,0.10537015646696091,0.06279811263084412,0.010957043308125348,0.6006777705674526,41654,3759919,69345,3801573,69345,43709,38008,4370900,100.0,100.0,0.5394307971000671,0.5775302648544312,0.3495982885360718,0.7488687634468079,0.8207368850708008,0.6007786989212036,0.24841012060642242,0.00010092835375097309,0.9998320041074489,43709,5701,86.97460477247249,341.78960433999964,2.5670255909990374,0.08923458600111189,3.692641380891954,2.0,3.614717238216092,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783307702.108704,24,975.1201591379995,9.858144079107946e-05,2.094482421875,1.3155759572982788,1.5578097105026245,0.7789048552513123,0.05288423225283623,0.4831649661064148,0.03444337844848633,0.0,0.0,0.0001239352859556675,3.0983821488916874e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,1.0,2.0,0,,,,,,,,,,,,,,,0.10975557565689087,0.06532897055149078,0.010908553414722286,0.5981108948013555,41476,3760678,69345,3802154,69345,43709,38008,4370900,100.0,100.0,0.5386435389518738,0.5763322710990906,0.3471689522266388,0.7491725087165833,0.8208234310150146,0.5981109142303467,0.2490302175283432,1.9428991193670697e-08,0.9999999675160731,43709,5701,86.98789722940356,326.2689212240002,2.1484173140015628,0.08315233800021815,3.643237254218789,2.0,3.713525491562421,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
epoch,1783308727.064068,25,1009.4708218319993,9.845798590504411e-05,2.071871042251587,1.3023879528045654,1.538974404335022,0.769487202167511,0.05176542326807976,0.47863873839378357,0.03430243209004402,0.0,0.0,0.00013341936573851854,3.3354841434629634e-05,22856,0.5,True,0.1,0.25,0.05,0.25,128,5,True,0.05,10,0.3,10,1.0,2.0,0,1.30095374584198,0.053079504519701004,0.4729246497154236,0.0349559411406517,0.0,0.0,1.6917510448077877e-10,4.229377612019469e-11,5701,0.5,True,True,1.0,2.0,0.11316139996051788,0.06737402826547623,0.01106981853420588,0.6068642295767539,42083,3759515,69345,3801598,69345,43709,38008,4370900,100.0,100.0,0.5450643301010132,0.5879952311515808,0.3534909784793854,0.7558493614196777,0.8245872259140015,0.6068642139434814,0.2586055099964142,-1.5633272454351754e-08,1.000000025760742,43709,5701,86.97517673705644,346.59975471800135,2.154801349999616,0.08793224600049143,3.600480947161671,2.0,3.799038105676658,iou,0.25,0.25,2.0,True,False,False,True,True,0.0,0.5,1.0,10,True,5,12,0.0,0.15,4.0,0.25,20,0.5,True,True
