type,time,epoch,epoch_time,lr,train_loss,train_loss_main,train_loss_aux,train_loss_aux_contrib,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,train_loss_text_negative,train_loss_text_negative_contrib,train_text_negative_queries,score_negative_iou_ignore_thr,matcher_score_alpha,matcher_cost_score_effective,train_negative_text_regression_matches,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,raw_oracle_num_gt,raw_oracle_num_samples,raw_oracle_positive_samples,raw_oracle_num_pred,raw_oracle_avg_pred_per_sample,raw_oracle_avg_pred_per_positive_sample,raw_best_iou_mean,raw_best_iou_median,raw_best_iou_p25,raw_best_iou_p75,raw_oracle_recall25,raw_oracle_recall50,raw_oracle_recall75,raw_oracle_gap50,raw_oracle_retention50,valid_samples,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,eval_metric_time,raw_oracle_metric_time,lambda_bbox,lambda_giou,lambda_score,classification_type,ia_bce_alpha,classification_focal_alpha,classification_focal_gamma,normalize_classification_by_num_gt,dense_score_assignment_enabled,hard_negative_mining_enabled,pairwise_ranking_enabled,lambda_rank_max,lambda_aux,pos_weight,quality_warmup_epoch,aux_score_enabled,matcher_score_start_epoch,matcher_score_warmup_epoch,matcher_score_alpha_min,negative_sample_ratio,max_query_loss_weight,lambda_text_negative,text_negative_topk,text_negative_hard_mix,negative_text_as_empty_target,use_negative_queries_in_val
epoch,1783042025.5386193,1,909.2109093349427,0.0001499994209638661,7.154163360595703,6.459510326385498,2.480901002883911,0.6946505308151245,0.17455551028251648,0.8312234878540039,1.962357521057129,0.0,0.0,0.0065804398618638515,0.0013160242233425379,22856,0.0,0.1,0.2,0,0.0004399665049277246,0.0001025919773383066,0.00432405225468439,0.05451634769315084,3780,870400,69337,874180,69337,43709,38008,17483600,400.0,400.0,0.2552623152732849,0.21193817257881165,0.07280581444501877,0.3890533149242401,0.4360298216342926,0.14213190972805023,0.03118104301393032,0.0876155620348994,0.38356163508574775,43709,5701,20.0,96.81518250377849,0.5202141366899014,0.07824956625699997,4.99,2.0,2.0,ia_bce,0.25,0.25,2.0,True,False,False,False,0.0,0.28,1.0,10,False,1,12,0.1,0.15,4.0,0.2,20,0.5,True,True
epoch,1783042870.9752228,2,842.1322321840562,0.00014995453975622148,5.490267276763916,4.875788688659668,2.1945109367370605,0.6144639253616333,0.1395154893398285,0.7695263624191284,1.320944905281067,0.0,0.0,0.0003031663072761148,6.063608088879846e-05,22856,0.0,0.11770833333333333,0.23541666666666666,0,5.814724445343018,0.2478821575641632,0.985822319984436,1.3043110370635986,0.0,0.0,2.3670661903452128e-05,4.7346325118269306e-06,5701,0.0,0.11770833333333333,0.23541666666666666,2.1044879758846946e-06,3.776107746489288e-07,0.0003488983962113066,0.0043988058323838645,305,873875,69337,874180,69337,43709,38008,17483600,400.0,400.0,0.1861390620470047,0.10493409633636475,0.009232576005160809,0.3089788556098938,0.3138439655303955,0.10163404792547226,0.021532515063881874,0.0972352420930884,0.043280828838082756,43709,5701,20.0,105.69738732511178,0.5084568117745221,0.08125429321080446,4.98,2.0,2.0,ia_bce,0.25,0.25,2.0,True,False,False,False,0.0,0.28,1.0,10,False,1,12,0.1,0.15,4.0,0.2,20,0.5,True,True
epoch,1783043700.3543506,3,823.0874944343232,0.00014983814549567495,4.810162544250488,4.212391376495361,2.134875774383545,0.5977669358253479,0.12967374920845032,0.7440983057022095,1.0398049354553223,0.0,0.0,0.0005568463820964098,0.00011136722605442628,22856,0.0,0.16666666666666669,0.33333333333333337,0,3.6263347283238545e-05,6.980113539611921e-06,0.0008099018508773936,0.01021099845681238,708,873472,69337,874180,69337,43709,38008,17483600,400.0,400.0,0.08333832770586014,0.0067025525495409966,0.0,0.11089511960744858,0.11614289879798889,0.031483910977840424,0.003057530615478754,0.021272912521028045,0.3243243339113514,43709,5701,20.0,92.03864104719833,0.49873319594189525,0.07549994112923741,4.97,2.0,2.0,ia_bce,0.25,0.25,2.0,True,False,False,False,0.0,0.28,1.0,10,False,1,12,0.1,0.15,4.0,0.2,20,0.5,True,True
epoch,1783044574.2696605,4,866.3473225077614,0.00014965035508079705,4.2144246101379395,3.6387877464294434,2.055821418762207,0.5756297707557678,0.12141749262809753,0.7236663699150085,0.7945694327354431,0.0,0.0,0.00044919626088812947,8.983382576843724e-05,22856,0.0,0.240625,0.48125,0,6.055211544036865,0.435538113117218,1.2902405261993408,0.6572282314300537,0.0,0.0,3.4701384720392525e-05,6.940173989278264e-06,5701,0.0,0.240625,0.48125,2.4709966055525e-06,4.078379731708992e-07,0.00040037520876707314,0.005047809971588041,350,873830,69337,874180,69337,43709,38008,17483600,400.0,400.0,0.07264066487550735,0.0,0.0,0.0889388769865036,0.1005956381559372,0.02216709777712822,0.0011249404633417726,0.01711928780554018,0.22771632183606458,43709,5701,20.0,118.10519996890798,0.506168307736516,0.10159349208697677,4.96,2.0,2.0,ia_bce,0.25,0.25,2.0,True,False,False,False,0.0,0.28,1.0,10,False,1,12,0.1,0.15,4.0,0.2,20,0.5,True,True
