type,time,epoch,lr,train_loss,train_loss_bbox,train_loss_giou,train_loss_score,val_loss,val_loss_bbox,val_loss_giou,val_loss_score,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,valid_samples,skipped_empty_gt,avg_selected_per_sample,lambda_bbox,lambda_giou,lambda_score,pos_weight
epoch,1781491809.5961483,1,9.99992726338421e-05,2.5431322458315564,0.16540438201676727,0.80471223923113,0.10799131914093407,2.253815119201788,0.14172938677971486,0.7269739856322607,0.09234043754486725,0.0,0.0,0.0,0.0,0,0,14524,0,7680,0,0.0,4.986666666666666,2.0,1.0083333333333333,1.0266666666666666
epoch,1781494548.3222911,2,9.999390296633516e-05,2.1436873225973567,0.12486350741997007,0.7135847122992818,0.09396398550102118,2.1447023528091833,0.12960580628567536,0.7026800918063582,0.09321569275778878,0.0,0.0,0.0,0.0,0,0,14524,0,7680,0,0.0,4.973333333333334,2.0,1.0166666666666666,1.0533333333333332
epoch,1781497132.7505336,3,9.998330861716445e-05,2.038345118335543,0.11508755359714791,0.6847538478429666,0.09561283261151675,2.021220720438945,0.11629496972579885,0.6736705787009513,0.09468927978058204,0.0005423278780654073,0.00018816044612322003,0.1588235294117647,0.0018589920132194987,27,143,14524,170,7680,0,0.022135416666666668,4.96,2.0,1.025,1.08
epoch,1781499729.7106688,4,9.996749075178701e-05,1.9986053841299118,0.1114957475463737,0.6733603576537549,0.09711519508047604,2.0739817671628313,0.12031942479914487,0.6896802317774431,0.09623343582415596,0.018778977915644646,0.008606390279601328,0.22859626249456758,0.07243183695951529,1052,3550,14524,4602,7680,0,0.59921875,4.946666666666666,2.0,1.0333333333333334,1.1066666666666667
epoch,1781502306.1385994,5,9.994645111028539e-05,1.9762881699743617,0.10948176850574896,0.6663922434049485,0.09925787623281311,2.070839660373902,0.12122146583825463,0.6849907543133906,0.09871896207944085,0.0005592256784439087,0.0002704305879888125,0.2376237623762376,0.0016524373450839988,24,77,14524,101,7680,0,0.013151041666666667,4.933333333333334,2.0,1.0416666666666667,1.1333333333333333
epoch,1781504886.022275,6,9.992019200717618e-05,1.95496801127976,0.1073098850872475,0.6603958013301345,0.101154066785323,2.004333131466851,0.1128975991594765,0.6713450863825703,0.10113025280280095,0.010536213405430317,0.004097104402814011,0.23386295928500497,0.032429082897273476,471,1543,14524,2014,7680,0,0.26223958333333336,4.92,2.0,1.05,1.16
epoch,1781507461.643606,7,9.98887163311556e-05,1.9433596939988782,0.10615002034151953,0.656866390880422,0.10278816615957066,2.002356965546355,0.11502450473801788,0.6651486732028048,0.1017379981555007,0.002287990180775523,0.0010615416274958988,0.2304,0.009914624070503994,144,481,14524,625,7680,0,0.08138020833333333,4.906666666666666,2.0,1.0583333333333333,1.1866666666666668
epoch,1781510039.5162513,8,9.985202754478146e-05,1.9847682286127217,0.11079063611769373,0.6656098825793401,0.10444962466406908,2.0584315515001013,0.12116798161731261,0.6771289141368911,0.10430473456573155,0.0013161596143618226,0.0003948478843085468,0.4205607476635514,0.003098320022032498,45,62,14524,107,7680,0,0.013932291666666667,4.8933333333333335,2.0,1.0666666666666667,1.2133333333333334
epoch,1781512628.7359653,9,9.981012968409247e-05,2.0294534367400816,0.11554022148131873,0.6756081151091344,0.10641944815611919,2.2123228944085462,0.13622155660678717,0.7172524560468666,0.10516908292827959,0.0004533610481303185,9.06722096260637e-05,0.6923076923076923,0.0006196640044064996,9,4,14524,13,7680,0,0.0016927083333333334,4.88,2.0,1.075,1.24
epoch,1781515214.4478252,10,9.97630273581641e-05,2.002193120422748,0.11282093311703838,0.668043345114393,0.1080411106707017,2.219931969889487,0.13699996019619506,0.720397213756135,0.1037578907103814,0.0024351621977984905,0.0005947252229816513,0.4166666666666667,0.0044753511429358305,65,91,14524,156,7680,0,0.0203125,4.866666666666666,2.0,1.0833333333333333,1.2666666666666666
epoch,1781517802.1430213,11,9.97107257486017e-05,2.034614956298225,0.11633661615765953,0.675089936972678,0.10975391101699197,2.2709001031788913,0.1400810756069147,0.7363832493905317,0.10834207172703111,0.003387879580259323,0.0010506293535570421,0.40074906367041196,0.007367116496832828,107,160,14524,267,7680,0,0.034765625,4.8533333333333335,2.0,1.0916666666666666,1.2933333333333334
epoch,1781520384.3605306,12,9.965323060897025e-05,2.024307636872293,0.11521785987892727,0.6718902984316415,0.11170234217350548,2.1352615023050645,0.12658598320205894,0.7014307331745372,0.10883986757776577,0.0032341405749320984,0.0008930125041842985,0.306282722513089,0.008055632057284495,117,265,14524,382,7680,0,0.04973958333333333,4.84,2.0,1.1,1.32
epoch,1781522968.455377,13,9.959054826416168e-05,2.031971800441799,0.11562071903986343,0.6740463659521576,0.11351853423260494,2.0941680764233825,0.12268551436459853,0.6877016964923552,0.11422789214893875,0.0022605203557759523,0.0006105665190261789,0.4766355140186916,0.0035114293583034975,51,56,14524,107,7680,0,0.013932291666666667,4.826666666666666,2.0,1.1083333333333334,1.3466666666666667
epoch,1781525540.885759,14,9.952268560969892e-05,2.00883440067779,0.112995618444867,0.6678859406926466,0.1156808244390875,2.098330689895183,0.12116585496455581,0.6935839389563736,0.11458311314139553,0.0,0.0,0.0,0.0,0,0,14524,0,7680,0,0.0,4.8133333333333335,2.0,1.1166666666666667,1.3733333333333333
epoch,1781528116.7428515,15,9.944965011097741e-05,2.0494487503723278,0.11689941766958521,0.678327790973994,0.11704528222889661,2.1310710014041625,0.12579732865913573,0.6977630597209991,0.11708238724656779,0.0,0.0,0.0,0.0,0,0,14524,0,7680,0,0.0,4.8,2.0,1.125,1.4
