type,time,epoch,epoch_time,lr,train_loss,train_loss_main,train_loss_aux,train_loss_aux_contrib,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,train_loss_text_negative,train_loss_text_negative_contrib,train_text_negative_queries,score_negative_iou_ignore_thr,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,raw_oracle_num_gt,raw_oracle_num_samples,raw_oracle_positive_samples,raw_oracle_num_pred,raw_oracle_avg_pred_per_sample,raw_oracle_avg_pred_per_positive_sample,raw_best_iou_mean,raw_best_iou_median,raw_best_iou_p25,raw_best_iou_p75,raw_oracle_recall25,raw_oracle_recall50,raw_oracle_recall75,raw_oracle_gap50,raw_oracle_retention50,valid_samples,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,eval_metric_time,raw_oracle_metric_time,lambda_bbox,lambda_giou,lambda_score,ranking_enabled,lambda_rank_max,lambda_aux,pos_weight,quality_warmup_epoch,score_match_rounds,score_quality_gamma,score_round_decay,score_min_iou,aux_score_enabled,rank_start_epoch,rank_warmup_epoch,rank_alpha_min,negative_sample_ratio,max_query_loss_weight,lambda_text_negative,text_negative_topk,text_negative_hard_mix,score_negative_iou_ignore_start,score_negative_iou_ignore_end,score_negative_iou_ignore_start_epoch,score_negative_iou_ignore_end_epoch,score_negative_iou_ignore_schedule,rank_negative_iou_max,use_negative_queries_in_val
epoch,1782963307.102203,1,665.8062406852841,0.0001499994209638661,2.502593994140625,1.9476432800292969,1.5855700969696045,0.5549491047859192,0.07926547527313232,0.5778805613517761,0.19070817530155182,0.0,0.0,0.21675631403923035,0.10837815701961517,22856,0.1,0.017058460041880608,0.008614900521934032,0.020745155459973918,0.26154866809928323,18135,856045,69337,874180,69337,43709,38008,4370900,100.0,100.0,0.46532371640205383,0.48683789372444153,0.23703666031360626,0.6778019070625305,0.7388407588005066,0.48440226912498474,0.1605924665927887,0.2228536010257015,0.5399410464607027,43709,5701,20.0,86.23880370566621,0.5208628568798304,0.08259435510262847,4.99,2.0,1.51,True,0.03,0.35,2.0,10,1,1.0,0.25,0.05,False,3,50,0.02,0.15,2.0,0.5,20,0.5,0.1,0.5,5,50,cosine,0.2,True
epoch,1782964481.0505486,1,686.219648390077,0.0001499994209638661,2.3303256034851074,1.885472059249878,1.5887513160705566,0.44485053420066833,0.07946695387363434,0.5778613686561584,0.162433922290802,0.0,0.0,0.17587053775787354,0.08793526887893677,22856,0.3,0.021314052864909172,0.011966533027589321,0.022168203344848886,0.2794900269697276,19379,854801,69337,874180,69337,43709,38008,4370900,100.0,100.0,0.46384844183921814,0.48727530241012573,0.23369000852108002,0.6797670722007751,0.735220730304718,0.48415708541870117,0.1616741418838501,0.2046670584489736,0.577271376144425,43709,5701,20.0,89.75322931818664,0.5148846139200032,0.0825121239759028,4.99,2.0,1.51,True,0.03,0.28,1.5,10,2,1.5,0.3,0.3,False,5,40,0.02,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782965107.3307645,2,614.4288671701215,0.00014995453975622148,2.4339840412139893,1.9596664905548096,1.6940088272094727,0.47432219982147217,0.08894510567188263,0.6134205460548401,0.14187274873256683,0.0,0.0,0.1484612673521042,0.0742306336760521,22856,0.30085551386261894,1.7876863479614258,0.07617697864770889,0.5585176348686218,0.14296358823776245,0.0,0.0,0.1479731649160385,0.07398658245801926,5701,0.30085551386261894,0.019833704456686974,0.009971531108021736,0.02336589718364639,0.2945901899418781,20426,853754,69337,874180,69337,43709,38008,4370900,100.0,100.0,0.4627385139465332,0.48527127504348755,0.22974373400211334,0.676799476146698,0.7327978014945984,0.4843301475048065,0.1630731076002121,0.18973995756292844,0.6082425210562689,43709,5701,20.0,107.91668967204168,0.5545570459216833,0.08569422597065568,4.98,2.0,1.52,True,0.03,0.28,1.5,10,2,1.5,0.3,0.3,False,5,40,0.02,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782965701.527532,3,587.5281527489424,0.00014983814549567495,2.358060836791992,1.8918826580047607,1.6649242639541626,0.46617835760116577,0.08621916174888611,0.6058180332183838,0.12324618548154831,0.0,0.0,0.12634572386741638,0.06317286193370819,22856,0.30340741737109317,0.020823514088988304,0.010491058230400085,0.022264293394952984,0.28070150136290867,19463,854717,69337,874180,69337,43709,38008,4370900,100.0,100.0,0.46559715270996094,0.4887033998966217,0.2375224232673645,0.6773129105567932,0.7386820912361145,0.4866809844970703,0.16549605131149292,0.20597948313416165,0.5767669383117195,43709,5701,20.0,81.13325137319043,0.5063215680420399,0.08004653314128518,4.97,2.0,1.53,True,0.03,0.28,1.5,10,2,1.5,0.3,0.3,False,5,40,0.02,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782966314.023366,4,606.7022450012155,0.00014965035508079705,2.268268346786499,1.8147499561309814,1.6197071075439453,0.4535176157951355,0.08209466189146042,0.5940463542938232,0.10751620680093765,0.0,0.0,0.10778774321079254,0.05389387160539627,22856,0.3076120467488713,1.6678138971328735,0.0709742084145546,0.5456594824790955,0.11092506349086761,0.0,0.0,0.10727627575397491,0.05363813787698746,5701,0.3076120467488713,0.01827608421444893,0.01024240255355835,0.02270127433709305,0.2862108253890419,19845,854335,69337,874180,69337,43709,38008,4370900,100.0,100.0,0.47398641705513,0.4960063099861145,0.24900829792022705,0.6884028911590576,0.7489219307899475,0.493949830532074,0.17981740832328796,0.20773900514303206,0.5794329863029626,43709,5701,20.0,100.29089508205652,0.5367933749221265,0.08027281006798148,4.96,2.0,1.54,True,0.03,0.28,1.5,10,2,1.5,0.3,0.3,False,5,40,0.02,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782966921.173022,5,600.4760931432247,0.00014939135711565605,2.1896989345550537,1.7465053796768188,1.5828680992126465,0.4432031214237213,0.07887083292007446,0.582552969455719,0.09337016195058823,0.8169285655021667,0.0004901560605503619,0.09155017882585526,0.04577508941292763,22856,0.31339745962155613,0.018794598057866096,0.011055445298552513,0.02359010730055595,0.29741696352596736,20622,853558,69337,874180,69337,43709,38008,4370900,100.0,100.0,0.48057207465171814,0.507810115814209,0.251338392496109,0.6977401971817017,0.7513015866279602,0.5103768706321716,0.1828172504901886,0.21295990710620427,0.5827398940660765,43709,5701,20.0,81.23877395316958,0.5044196471571922,0.08103685034438968,4.95,2.0,1.55,True,0.03,0.28,1.5,10,2,1.5,0.3,0.3,False,5,40,0.02,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782967552.6910079,6,624.3696954981424,0.00014906141172039655,2.120994806289673,1.686678409576416,1.5511198043823242,0.43431344628334045,0.07586298882961273,0.5724197030067444,0.08165709674358368,0.829849123954773,0.0005428929580375552,0.07830154150724411,0.039150770753622055,22856,0.32066466597087645,1.5508842468261719,0.06624741852283478,0.5242088437080383,0.08639859408140182,0.8182000517845154,0.0005352722364477813,0.0797761008143425,0.03988805040717125,5701,0.32066466597087645,0.019609957933425903,0.011866863816976547,0.024514402068223935,0.3090701934032335,21430,852750,69337,874180,69337,43709,38008,4370900,100.0,100.0,0.4932488799095154,0.5235257148742676,0.2691974341869354,0.7112756967544556,0.7650604844093323,0.5287653207778931,0.20127782225608826,0.21969512737465957,0.5845129800656081,43709,5701,20.0,102.03161182999611,0.6046182787977159,0.10705567756667733,4.94,2.0,1.56,True,0.03,0.28,1.5,10,2,1.5,0.3,0.3,False,5,40,0.02,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782968158.5949903,7,599.536707516294,0.0001486608502699925,2.065039873123169,1.638247013092041,1.5242652893066406,0.4267938435077667,0.07347621023654938,0.5653775334358215,0.07095594704151154,0.843248724937439,0.0006856870604678988,0.06633289903402328,0.03316644951701164,22856,0.32928932188134524,0.022330541163682938,0.013572411611676216,0.025350614289963165,0.3196129050867502,22161,852019,69337,874180,69337,43709,38008,4370900,100.0,100.0,0.4988645315170288,0.5284237265586853,0.27824273705482483,0.7183709740638733,0.7732956409454346,0.534577488899231,0.20807072520256042,0.21496458381248074,0.5978794687836134,43709,5701,20.0,82.88900451781228,0.5369574110955,0.08750176802277565,4.93,2.0,1.57,True,0.03,0.28,1.5,10,2,1.5,0.3,0.3,False,5,40,0.02,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782968790.938906,8,619.5876861587167,0.0001481900750614364,1.9914376735687256,1.5730222463607788,1.4943385124206543,0.41841453313827515,0.07049018889665604,0.5572670698165894,0.05778730288147926,0.8769301176071167,0.000939472927711904,0.03886446729302406,0.01943223364651203,22856,0.33912385709912796,1.4307037591934204,0.06219812482595444,0.5153511166572571,0.05322224646806717,0.8478341102600098,0.0009083008044399321,0.01797354221343994,0.00898677110671997,5701,0.33912385709912796,0.01744978316128254,0.010117565281689167,0.02407856505525178,0.30357529169130476,21049,853131,69337,874180,69337,43709,38008,4370900,100.0,100.0,0.5018805265426636,0.5322345495223999,0.28397780656814575,0.7204220294952393,0.7756897211074829,0.5392935872077942,0.21144555509090424,0.23571829551648943,0.5629128528360096,43709,5701,20.0,104.11002713209018,0.510105571243912,0.08015003427863121,4.92,2.0,1.58,True,0.03,0.28,1.5,10,2,1.5,0.3,0.3,False,5,40,0.02,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782969393.2949164,9,596.8350318917073,0.00014764955890969914,1.9055010080337524,1.497189998626709,1.4582496881484985,0.408311128616333,0.06835878640413284,0.5463449358940125,0.04220444709062576,0.8785873651504517,0.001250406727194786,0.0010019605979323387,0.0005009802989661694,22856,0.35,0.019999945536255836,0.012846683152019978,0.024180171937160978,0.3033878016066458,21036,848933,69337,869969,69337,43709,38008,4370900,100.0,100.0,0.5098636150360107,0.5477352738380432,0.288420706987381,0.7314389944076538,0.7798433899879456,0.5555042624473572,0.22379104793071747,0.2521164608407114,0.5461484674663438,43709,5701,19.90365828547896,82.70467329630628,0.5828354577533901,0.07935961708426476,4.91,2.0,1.59,True,0.03,0.28,1.5,10,2,1.5,0.3,0.3,False,5,40,0.02,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782970025.6534572,10,626.1869892310351,0.00014703984467286652,1.8665131330490112,1.4662221670150757,1.4296051263809204,0.40028926730155945,0.06599633395671844,0.5399695634841919,0.03817220404744148,0.8920012712478638,0.0016620486276224256,0.0003339613613206893,0.00016698068066034466,22856,0.361731656763491,1.3452122211456299,0.05852685868740082,0.49466273188591003,0.04215259104967117,0.8789626955986023,0.0016377544961869717,4.6520974137820303e-05,2.3260487068910152e-05,5701,0.361731656763491,0.019962556660175323,0.012445740401744843,0.027035137086933784,0.3131517083231175,21713,781427,69337,803140,69337,43709,38008,4370900,100.0,100.0,0.5201712846755981,0.5623430609703064,0.30181270837783813,0.7402235865592957,0.7890880703926086,0.5711236596107483,0.2364538460969925,0.2579719512876308,0.548308064380571,43709,5701,18.374705438239264,102.73163065500557,0.5380957988090813,0.0820698500610888,4.9,2.0,1.6,True,0.03,0.28,1.5,10,2,1.5,0.3,0.3,False,5,40,0.02,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782970628.8339047,11,594.1391489580274,0.00014636154470692913,1.8362364768981934,1.441724419593811,1.4089758396148682,0.39451324939727783,0.06397795677185059,0.5323526859283447,0.03848870471119881,0.897469162940979,0.002141407225281,0.00011727320088539273,5.863660044269636e-05,22856,0.37411809548974795,0.0200339388102293,0.012325488030910492,0.028007584464505415,0.31912254640379595,22127,767909,69337,790036,69337,43709,38008,4370900,100.0,100.0,0.5200607180595398,0.5540202856063843,0.3067758083343506,0.7426142692565918,0.7938618659973145,0.5651095509529114,0.24115552008152008,0.24598700454911543,0.5647091716388055,43709,5701,18.07490448191448,79.13661863422021,0.5473708896897733,0.09138534171506763,4.89,2.0,1.61,True,0.03,0.28,1.5,10,2,1.5,0.3,0.3,False,5,40,0.02,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782971262.8894053,12,627.8323713950813,0.000145615340250773,1.8050246238708496,1.4183149337768555,1.3810995817184448,0.38670745491981506,0.06182865425944328,0.5249926447868347,0.039443209767341614,0.8930012583732605,0.0026664866600185633,8.894844359019771e-05,4.4474221795098856e-05,22856,0.38694738077799484,1.3154467344284058,0.055616408586502075,0.485998272895813,0.04284258186817169,0.8829892873764038,0.0026366005185991526,1.0891935744439252e-06,5.445967872219626e-07,5701,0.38694738077799484,0.020977424457669258,0.013180762529373169,0.028618625348144827,0.3223243001572032,22349,758576,69337,780925,69337,43709,38008,4370900,100.0,100.0,0.5268685221672058,0.5685881972312927,0.31567975878715515,0.7462026476860046,0.7960540652275085,0.5778588652610779,0.2438669055700302,0.2555345651038747,0.5577906986190762,43709,5701,17.86645770893866,108.80751508288085,0.5405614878982306,0.08102321391925216,4.88,2.0,1.62,True,0.03,0.28,1.5,10,2,1.5,0.3,0.3,False,5,40,0.02,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782971864.6947825,13,594.5259780581109,0.0001448019807419893,1.7755179405212402,1.3946164846420288,1.3603630065917969,0.3809013366699219,0.05996851250529289,0.5168455839157104,0.04022374004125595,0.8968163728713989,0.003280200297012925,6.34894022368826e-05,3.17447011184413e-05,22856,0.39999999999999997,0.02037351205945015,0.01266075111925602,0.029435666962498195,0.32910278783333574,22819,752397,69337,775216,69337,43709,38008,4370900,100.0,100.0,0.5306541919708252,0.5709310173988342,0.31710779666900635,0.7539873123168945,0.7992990612983704,0.5887909531593323,0.2546980679035187,0.25968816532599653,0.5589467468333833,43709,5701,17.735843876547165,79.06435727002099,0.5142592950724065,0.07964375661686063,4.87,2.0,1.63,True,0.03,0.28,1.5,10,2,1.5,0.3,0.3,False,5,40,0.02,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
