type,time,epoch,epoch_time,lr,train_loss,train_loss_main,train_loss_aux,train_loss_aux_contrib,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,train_loss_text_negative,train_loss_text_negative_contrib,train_text_negative_queries,score_negative_iou_ignore_thr,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,raw_oracle_num_gt,raw_oracle_num_samples,raw_oracle_positive_samples,raw_oracle_num_pred,raw_oracle_avg_pred_per_sample,raw_oracle_avg_pred_per_positive_sample,raw_best_iou_mean,raw_best_iou_median,raw_best_iou_p25,raw_best_iou_p75,raw_oracle_recall25,raw_oracle_recall50,raw_oracle_recall75,raw_oracle_gap50,raw_oracle_retention50,valid_samples,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,eval_metric_time,raw_oracle_metric_time,lambda_bbox,lambda_giou,lambda_score,ranking_enabled,lambda_rank_max,lambda_aux,pos_weight,quality_warmup_epoch,score_match_rounds,score_quality_gamma,score_round_decay,score_min_iou,aux_score_enabled,rank_start_epoch,rank_warmup_epoch,rank_alpha_min,negative_sample_ratio,max_query_loss_weight,lambda_text_negative,text_negative_topk,text_negative_hard_mix,score_negative_iou_ignore_start,score_negative_iou_ignore_end,score_negative_iou_ignore_start_epoch,score_negative_iou_ignore_end_epoch,score_negative_iou_ignore_schedule,rank_negative_iou_max,use_negative_queries_in_val
epoch,1782973085.0222838,1,681.2267513019033,0.0001499994209638661,3.6027557849884033,2.8568472862243652,2.663971424102783,0.7459112405776978,0.18744142353534698,0.842743456363678,0.13845759630203247,0.0,0.0,0.05390925705432892,0.02695462852716446,22856,0.3,0.004085056018084288,0.0020685973577201366,0.007008854011759592,0.08836551913119979,6127,868053,69337,874180,69337,43709,38008,4370900,100.0,100.0,0.3334592878818512,0.32495561242103577,0.1312357485294342,0.49282556772232056,0.6039632558822632,0.24011710286140442,0.04163721948862076,0.15175158373020464,0.3680101003975729,43709,5701,20.0,91.18468989012763,0.5131742698140442,0.08070062100887299,4.99,2.0,1.51,True,0.25,0.28,1.5,10,2,1.5,0.3,0.3,False,5,12,0.1,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782973702.2126193,2,614.3240293911658,0.00014995453975622148,2.8811278343200684,2.270627737045288,2.1803464889526367,0.610497772693634,0.13121548295021057,0.732172966003418,0.10039050877094269,0.0,0.0,0.00047290208749473095,0.00023645104374736547,22856,0.30085551386261894,1.9518954753875732,0.10275188088417053,0.6442978978157043,0.09973292052745819,0.0,0.0,2.393549607404566e-07,1.196774803702283e-07,5701,0.30085551386261894,0.0037139328196644783,0.0009666704572737217,0.011760829758789577,0.13385349813231032,9281,779864,69337,789145,69337,43709,38008,4370900,100.0,100.0,0.385185182094574,0.3800116777420044,0.16594786942005157,0.5712012648582458,0.6508934497833252,0.3450394570827484,0.08605794608592987,0.2111859589504381,0.3879367863142944,43709,5701,18.054519664142397,103.71765948273242,0.5339711420238018,0.08203738182783127,4.98,2.0,1.52,True,0.25,0.28,1.5,10,2,1.5,0.3,0.3,False,5,12,0.1,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
epoch,1782974302.4544566,3,591.5015680221841,0.00014983814549567495,2.6489832401275635,2.0897040367126465,1.997438907623291,0.5592834949493408,0.11617543548345566,0.6907660365104675,0.08541163802146912,0.0,0.0,0.00019874901045113802,9.937450522556901e-05,22856,0.30340741737109317,0.007727238815277815,0.0031925763469189405,0.015965379978381974,0.1772358192595584,12289,757439,69337,769728,69337,43709,38008,4370900,100.0,100.0,0.40041694045066833,0.4039583206176758,0.17706157267093658,0.5856294631958008,0.6740989685058594,0.3689804971218109,0.09515842795372009,0.19174467786225252,0.4803392608608466,43709,5701,17.61028621107781,83.61166402278468,0.5007455558516085,0.07981506502255797,4.97,2.0,1.53,True,0.25,0.28,1.5,10,2,1.5,0.3,0.3,False,5,12,0.1,0.15,4.0,0.5,20,0.5,0.3,0.5,1,25,cosine,0.2,True
